Signature	Cell type	Annotation	Pvalue	FDR
Disease-state	Mem CD4	Pathways of neurodegeneration - multiple diseases	1.2e-09	8e-08
Disease-state	Mem CD4	Huntington disease	3.5e-09	1.9e-07
Disease-state	Mem CD4	Oxidative phosphorylation	5.1e-09	2.3e-07
Disease-state	Mem CD4	Amyotrophic lateral sclerosis	4.7e-08	1.9e-06
Disease-state	Mem CD4	Alzheimer disease	8.3e-08	3e-06
Disease-state	Mem CD4	Antigen processing and presentation	1.8e-07	5.7e-06
Disease-state	Mem CD4	Influenza A	3.3e-07	9.7e-06
Disease-state	Mem CD4	Diabetic cardiomyopathy	6.9e-07	1.8e-05
Disease-state	Mem CD4	Human immunodeficiency virus 1 infection	7.3e-06	0.00018
Disease-state	Mem CD4	Viral myocarditis	8.3e-06	0.00019
Disease-state	Mem CD4	Measles	1.6e-05	0.00035
Disease-state	Mem CD4	Type I diabetes mellitus	2.5e-05	0.0005
Disease-state	Mem CD4	Human cytomegalovirus infection	3.3e-05	0.00063
Disease-state	Mem CD4	Autoimmune thyroid disease	4.1e-05	0.00066
Disease-state	Mem CD4	Allograft rejection	4.1e-05	0.00066
Disease-state	Mem CD4	Graft-versus-host disease	4.1e-05	0.00066
Disease-state	Mem CD4	Shigellosis	6.5e-05	0.001
Disease-state	Mem CD4	Non-alcoholic fatty liver disease	6.9e-05	0.001
Disease-state	Mem CD4	Chemical carcinogenesis - reactive oxygen species	0.00013	0.0019
Disease-state	Mem CD4	Spinocerebellar ataxia	0.00015	0.002
Disease-state	Mem CD4	Th17 cell differentiation	0.00015	0.002
Disease-state	Mem CD4	Leukocyte transendothelial migration	0.00017	0.0021
Disease-state	Mem CD4	Inflammatory bowel disease	0.00024	0.0029
Disease-state	Mem CD4	Chemokine signaling pathway	0.00027	0.0031
Disease-state	Mem CD4	Yersinia infection	0.00031	0.0034
Disease-state	Mem CD4	Viral carcinogenesis	0.00059	0.0063
Disease-state	Mem CD4	Hepatitis C	0.0009	0.0093
Disease-state	Mem CD4	NOD-like receptor signaling pathway	0.0012	0.012
Disease-state	Mem CD4	Rheumatoid arthritis	0.0015	0.014
Disease-state	Mem CD4	Thermogenesis	0.0016	0.015
Disease-state	Mem CD4	Regulation of actin cytoskeleton	0.0016	0.015
Disease-state	Mem CD4	Cytosolic DNA-sensing pathway	0.0023	0.02
Disease-state	Mem CD4	Central carbon metabolism in cancer	0.0035	0.03
Disease-state	Mem CD4	Toxoplasmosis	0.0036	0.031
Disease-state	Mem CD4	Intestinal immune network for IgA production	0.0042	0.034
Disease-state	Mem CD4	Th1 and Th2 cell differentiation	0.0043	0.034
Disease-state	Mem CD4	Neurotrophin signaling pathway	0.0043	0.034
Disease-state	Mem CD4	Apoptosis - multiple species	0.0059	0.043
Disease-state	Mem CD4	Cardiac muscle contraction	0.0059	0.043
Disease-state	Mem CD4	JAK-STAT signaling pathway	0.0059	0.043
Disease-state	Mem CD4	Hematopoietic cell lineage	0.0061	0.043
Disease-state	Mem CD4	Kaposi sarcoma-associated herpesvirus infection	0.0062	0.043
Disease-state	Mem CD4	Protein processing in endoplasmic reticulum	0.0066	0.046
Disease-state	Mem CD4	Herpes simplex virus 1 infection	0.0085	0.056
Disease-state	Mem CD4	Pathways in cancer	0.0086	0.056
Disease-state	Mem CD4	Asthma	0.0088	0.056
Disease-state	Mem CD4	Citrate cycle (TCA cycle)	0.0094	0.059
Disease-state	Mem CD4	Lipid and atherosclerosis	0.0096	0.059
Disease-state	Mem CD4	Platinum drug resistance	0.012	0.076
Disease-state	Mem CD4	Necroptosis	0.015	0.087
Disease-state	Mem CD4	Epithelial cell signaling in Helicobacter pylori infection	0.015	0.087
Disease-state	Mem CD4	Salmonella infection	0.016	0.09
Disease-state	Mem CD4	C-type lectin receptor signaling pathway	0.016	0.09
Disease-state	Mem CD4	Toll-like receptor signaling pathway	0.023	0.13
Disease-state	Mem CD4	Cholinergic synapse	0.024	0.13
Disease-state	Mem CD4	Morphine addiction	0.026	0.14
Disease-state	Mem CD4	PPAR signaling pathway	0.038	0.2
Disease-state	Mem CD4	Bacterial invasion of epithelial cells	0.042	0.22
Disease-state	Mem CD4	PD-L1 expression and PD-1 checkpoint pathway in cancer	0.042	0.22
Disease-state	Mem CD4	Tuberculosis	0.044	0.22
Disease-state	Mem CD4	Fc gamma R-mediated phagocytosis	0.047	0.23
Disease-state	Mem CD4	Cell adhesion molecules	0.047	0.23
Disease-state	Th1	Parkinson disease	5.2e-18	1.7e-15
Disease-state	Th1	Proteasome	1.4e-16	2.2e-14
Disease-state	Th1	Prion disease	4.7e-14	5.1e-12
Disease-state	Th1	Pathways of neurodegeneration - multiple diseases	8.5e-11	6.9e-09
Disease-state	Th1	Oxidative phosphorylation	1.6e-10	1e-08
Disease-state	Th1	Amyotrophic lateral sclerosis	4.7e-10	2.6e-08
Disease-state	Th1	Huntington disease	8.3e-10	3.9e-08
Disease-state	Th1	Alzheimer disease	4.6e-09	1.9e-07
Disease-state	Th1	Diabetic cardiomyopathy	6.3e-09	2.3e-07
Disease-state	Th1	Epstein-Barr virus infection	3.7e-08	1.2e-06
Disease-state	Th1	Cell cycle	4.8e-08	1.4e-06
Disease-state	Th1	Influenza A	2.7e-06	7.3e-05
Disease-state	Th1	Thermogenesis	2.8e-05	0.00071
Disease-state	Th1	Viral carcinogenesis	5e-05	0.0012
Disease-state	Th1	Chemical carcinogenesis - reactive oxygen species	9.1e-05	0.002
Disease-state	Th1	Human immunodeficiency virus 1 infection	0.0001	0.002
Disease-state	Th1	Hepatitis C	0.00014	0.0027
Disease-state	Th1	Non-alcoholic fatty liver disease	0.00015	0.0028
Disease-state	Th1	Spinocerebellar ataxia	0.00018	0.0031
Disease-state	Th1	Oocyte meiosis	0.00032	0.0048
Disease-state	Th1	Biosynthesis of amino acids	0.00033	0.0048
Disease-state	Th1	Inflammatory bowel disease	0.00033	0.0048
Disease-state	Th1	Antigen processing and presentation	0.00041	0.0058
Disease-state	Th1	Human cytomegalovirus infection	0.00069	0.0093
Disease-state	Th1	DNA replication	0.00071	0.0093
Disease-state	Th1	Cellular senescence	0.0022	0.027
Disease-state	Th1	Fanconi anemia pathway	0.0029	0.034
Disease-state	Th1	p53 signaling pathway	0.0029	0.034
Disease-state	Th1	Autoimmune thyroid disease	0.0033	0.035
Disease-state	Th1	Allograft rejection	0.0033	0.035
Disease-state	Th1	Graft-versus-host disease	0.0033	0.035
Disease-state	Th1	Neurotrophin signaling pathway	0.0036	0.036
Disease-state	Th1	Morphine addiction	0.0038	0.037
Disease-state	Th1	Retrograde endocannabinoid signaling	0.0039	0.037
Disease-state	Th1	Regulation of actin cytoskeleton	0.004	0.037
Disease-state	Th1	Chemokine signaling pathway	0.0042	0.038
Disease-state	Th1	Measles	0.0043	0.038
Disease-state	Th1	Leukocyte transendothelial migration	0.0047	0.041
Disease-state	Th1	Cysteine and methionine metabolism	0.0062	0.052
Disease-state	Th1	Type I diabetes mellitus	0.0065	0.052
Disease-state	Th1	Circadian entrainment	0.0066	0.052
Disease-state	Th1	Shigellosis	0.0067	0.052
Disease-state	Th1	Asthma	0.007	0.053
Disease-state	Th1	Glucagon signaling pathway	0.0095	0.07
Disease-state	Th1	One carbon pool by folate	0.0098	0.071
Disease-state	Th1	Bacterial invasion of epithelial cells	0.013	0.091
Disease-state	Th1	MicroRNAs in cancer	0.014	0.097
Disease-state	Th1	Glutathione metabolism	0.014	0.097
Disease-state	Th1	Olfactory transduction	0.015	0.1
Disease-state	Th1	Platinum drug resistance	0.016	0.1
Disease-state	Th1	Th1 and Th2 cell differentiation	0.016	0.1
Disease-state	Th1	Intestinal immune network for IgA production	0.018	0.11
Disease-state	Th1	Toxoplasmosis	0.018	0.11
Disease-state	Th1	Apoptosis - multiple species	0.02	0.12
Disease-state	Th1	Human T-cell leukemia virus 1 infection	0.021	0.12
Disease-state	Th1	Glioma	0.021	0.12
Disease-state	Th1	Endocytosis	0.022	0.12
Disease-state	Th1	Apoptosis	0.023	0.13
Disease-state	Th1	Dopaminergic synapse	0.025	0.14
Disease-state	Th1	Cardiac muscle contraction	0.026	0.14
Disease-state	Th1	JAK-STAT signaling pathway	0.028	0.15
Disease-state	Th1	Citrate cycle (TCA cycle)	0.028	0.15
Disease-state	Th1	Viral myocarditis	0.029	0.15
Disease-state	Th1	Th17 cell differentiation	0.03	0.15
Disease-state	Th1	Pathways in cancer	0.03	0.15
Disease-state	Th1	GABAergic synapse	0.032	0.16
Disease-state	Th1	Human papillomavirus infection	0.032	0.16
Disease-state	Th1	Small cell lung cancer	0.033	0.16
Disease-state	Th1	Homologous recombination	0.036	0.17
Disease-state	Th1	2-Oxocarboxylic acid metabolism	0.036	0.17
Disease-state	Th1	Cholinergic synapse	0.036	0.17
Disease-state	Th1	Central carbon metabolism in cancer	0.038	0.17
Disease-state	Th1	Necroptosis	0.045	0.2
Disease-state	Th1	Gastric acid secretion	0.049	0.21
Disease-state	Th2	Hepatitis C	3.5e-09	1.1e-06
Disease-state	Th2	Measles	1.2e-08	1.9e-06
Disease-state	Th2	Influenza A	6.5e-08	7e-06
Disease-state	Th2	Proteasome	1.2e-06	9.8e-05
Disease-state	Th2	Pathways in cancer	4.9e-06	0.00031
Disease-state	Th2	Cytokine-cytokine receptor interaction	8.9e-06	0.00047
Disease-state	Th2	Epstein-Barr virus infection	1.3e-05	0.00058
Disease-state	Th2	Parkinson disease	2.2e-05	0.00086
Disease-state	Th2	Alzheimer disease	9.9e-05	0.0035
Disease-state	Th2	Colorectal cancer	0.00014	0.0044
Disease-state	Th2	Inflammatory bowel disease	0.00015	0.0044
Disease-state	Th2	NOD-like receptor signaling pathway	0.0002	0.0053
Disease-state	Th2	Cardiac muscle contraction	0.00025	0.0063
Disease-state	Th2	JAK-STAT signaling pathway	0.0003	0.0064
Disease-state	Th2	Apoptosis - multiple species	0.0003	0.0064
Disease-state	Th2	Prion disease	0.0006	0.012
Disease-state	Th2	Apoptosis	0.0011	0.02
Disease-state	Th2	Pathways of neurodegeneration - multiple diseases	0.0013	0.022
Disease-state	Th2	Thyroid cancer	0.0013	0.023
Disease-state	Th2	Diabetic cardiomyopathy	0.0015	0.024
Disease-state	Th2	Oxidative phosphorylation	0.0018	0.027
Disease-state	Th2	Human immunodeficiency virus 1 infection	0.0021	0.03
Disease-state	Th2	p53 signaling pathway	0.0022	0.03
Disease-state	Th2	Hepatitis B	0.0027	0.036
Disease-state	Th2	Shigellosis	0.0029	0.037
Disease-state	Th2	Chemical carcinogenesis - reactive oxygen species	0.0041	0.047
Disease-state	Th2	Toxoplasmosis	0.0041	0.047
Disease-state	Th2	Non-alcoholic fatty liver disease	0.0044	0.047
Disease-state	Th2	Autoimmune thyroid disease	0.0045	0.047
Disease-state	Th2	Chemokine signaling pathway	0.0045	0.047
Disease-state	Th2	Th17 cell differentiation	0.0046	0.047
Disease-state	Th2	Huntington disease	0.0049	0.049
Disease-state	Th2	Bladder cancer	0.0059	0.057
Disease-state	Th2	Necroptosis	0.0061	0.058
Disease-state	Th2	Amyotrophic lateral sclerosis	0.0068	0.062
Disease-state	Th2	PI3K-Akt signaling pathway	0.0074	0.066
Disease-state	Th2	Human cytomegalovirus infection	0.0095	0.082
Disease-state	Th2	Chronic myeloid leukemia	0.01	0.086
Disease-state	Th2	Kaposi sarcoma-associated herpesvirus infection	0.011	0.09
Disease-state	Th2	Hematopoietic cell lineage	0.014	0.11
Disease-state	Th2	Type I diabetes mellitus	0.021	0.16
Disease-state	Th2	Leukocyte transendothelial migration	0.021	0.16
Disease-state	Th2	Small cell lung cancer	0.021	0.16
Disease-state	Th2	TGF-beta signaling pathway	0.022	0.16
Disease-state	Th2	Viral carcinogenesis	0.023	0.17
Disease-state	Th2	Pathogenic Escherichia coli infection	0.024	0.17
Disease-state	Th2	Antigen processing and presentation	0.026	0.18
Disease-state	Th2	Spinocerebellar ataxia	0.031	0.2
Disease-state	Th2	Th1 and Th2 cell differentiation	0.032	0.2
Disease-state	Th2	RIG-I-like receptor signaling pathway	0.032	0.2
Disease-state	Th2	Fatty acid elongation	0.033	0.21
Disease-state	Th2	Acute myeloid leukemia	0.034	0.21
Disease-state	Th2	Graft-versus-host disease	0.034	0.21
Disease-state	Th2	Viral protein interaction with cytokine and cytokine receptor	0.035	0.21
Disease-state	Th2	Arrhythmogenic right ventricular cardiomyopathy	0.036	0.21
Disease-state	Th2	FoxO signaling pathway	0.039	0.22
Disease-state	Th2	Platinum drug resistance	0.039	0.22
Disease-state	Th2	Ovarian steroidogenesis	0.041	0.23
Disease-state	Th2	GABAergic synapse	0.042	0.23
Disease-state	Th2	Dilated cardiomyopathy	0.044	0.24
Disease-state	Th2	Endocytosis	0.046	0.24
Disease-state	Th17	Measles	1.8e-09	5.2e-07
Disease-state	Th17	Influenza A	2.4e-08	3.4e-06
Disease-state	Th17	JAK-STAT signaling pathway	1.6e-07	1.2e-05
Disease-state	Th17	Hepatitis C	1.7e-07	1.2e-05
Disease-state	Th17	NOD-like receptor signaling pathway	7e-06	0.0004
Disease-state	Th17	Cytokine-cytokine receptor interaction	0.00023	0.0095
Disease-state	Th17	Epstein-Barr virus infection	0.00023	0.0095
Disease-state	Th17	Necroptosis	0.0004	0.014
Disease-state	Th17	Coronavirus disease - COVID-19	0.00069	0.021
Disease-state	Th17	PI3K-Akt signaling pathway	0.00079	0.021
Disease-state	Th17	p53 signaling pathway	0.0008	0.021
Disease-state	Th17	RIG-I-like receptor signaling pathway	0.00093	0.022
Disease-state	Th17	NF-kappa B signaling pathway	0.0012	0.027
Disease-state	Th17	Pathways in cancer	0.0021	0.043
Disease-state	Th17	Pancreatic cancer	0.0034	0.065
Disease-state	Th17	Hepatitis B	0.005	0.089
Disease-state	Th17	Cytosolic DNA-sensing pathway	0.0074	0.12
Disease-state	Th17	Toxoplasmosis	0.0075	0.12
Disease-state	Th17	TGF-beta signaling pathway	0.0086	0.13
Disease-state	Th17	Osteoclast differentiation	0.011	0.15
Disease-state	Th17	Chronic myeloid leukemia	0.012	0.17
Disease-state	Th17	Th17 cell differentiation	0.013	0.17
Disease-state	Th17	Shigellosis	0.014	0.17
Disease-state	Th17	Thyroid cancer	0.014	0.17
Disease-state	Th17	Hematopoietic cell lineage	0.015	0.17
Disease-state	Th17	Bladder cancer	0.016	0.18
Disease-state	Th17	Pathogenic Escherichia coli infection	0.018	0.19
Disease-state	Th17	Small cell lung cancer	0.019	0.19
Disease-state	Th17	Transcriptional misregulation in cancer	0.02	0.19
Disease-state	Th17	Kaposi sarcoma-associated herpesvirus infection	0.02	0.19
Disease-state	Th17	Viral carcinogenesis	0.031	0.28
Disease-state	Th17	Acute myeloid leukemia	0.033	0.29
Disease-state	Th17	Adipocytokine signaling pathway	0.036	0.31
Disease-state	Th17	Human T-cell leukemia virus 1 infection	0.038	0.31
Disease-state	Th17	HIF-1 signaling pathway	0.038	0.31
Disease-state	Th17	Apoptosis	0.039	0.31
Disease-state	Th17	Insulin resistance	0.041	0.31
Disease-state	Th17	Intestinal immune network for IgA production	0.043	0.32
Disease-state	Th17	MicroRNAs in cancer	0.045	0.33
Disease-state	Th17	Viral protein interaction with cytokine and cytokine receptor	0.049	0.34
Disease-state	Th17	Arginine and proline metabolism	0.05	0.34
Disease-state	Tfh	Influenza A	5.2e-14	1.6e-11
Disease-state	Tfh	Hepatitis C	3.1e-08	4.8e-06
Disease-state	Tfh	Epstein-Barr virus infection	4.7e-08	4.8e-06
Disease-state	Tfh	Inflammatory bowel disease	7.1e-08	5.6e-06
Disease-state	Tfh	JAK-STAT signaling pathway	5e-07	3.1e-05
Disease-state	Tfh	Cytokine-cytokine receptor interaction	7.7e-07	4e-05
Disease-state	Tfh	Th17 cell differentiation	9.1e-07	4e-05
Disease-state	Tfh	Toxoplasmosis	2.5e-06	9.6e-05
Disease-state	Tfh	Measles	8e-06	0.00028
Disease-state	Tfh	Pathways in cancer	1.6e-05	0.00048
Disease-state	Tfh	Leishmaniasis	4.1e-05	0.0011
Disease-state	Tfh	Human T-cell leukemia virus 1 infection	4.5e-05	0.0011
Disease-state	Tfh	Antigen processing and presentation	4.8e-05	0.0011
Disease-state	Tfh	NOD-like receptor signaling pathway	5.2e-05	0.0011
Disease-state	Tfh	Human cytomegalovirus infection	0.00015	0.0032
Disease-state	Tfh	Necroptosis	0.00019	0.0037
Disease-state	Tfh	Intestinal immune network for IgA production	0.0002	0.0037
Disease-state	Tfh	Tuberculosis	0.00023	0.004
Disease-state	Tfh	Type I diabetes mellitus	0.00034	0.0056
Disease-state	Tfh	Chemokine signaling pathway	0.00041	0.0063
Disease-state	Tfh	Th1 and Th2 cell differentiation	0.00057	0.0084
Disease-state	Tfh	Autoimmune thyroid disease	0.00072	0.01
Disease-state	Tfh	Leukocyte transendothelial migration	0.00085	0.011
Disease-state	Tfh	Kaposi sarcoma-associated herpesvirus infection	0.001	0.013
Disease-state	Tfh	Hematopoietic cell lineage	0.0013	0.016
Disease-state	Tfh	Lipid and atherosclerosis	0.0013	0.016
Disease-state	Tfh	HIF-1 signaling pathway	0.0016	0.019
Disease-state	Tfh	Viral protein interaction with cytokine and cytokine receptor	0.002	0.022
Disease-state	Tfh	Hepatitis B	0.0024	0.024
Disease-state	Tfh	PI3K-Akt signaling pathway	0.0025	0.024
Disease-state	Tfh	Cytosolic DNA-sensing pathway	0.0025	0.024
Disease-state	Tfh	Viral carcinogenesis	0.0026	0.024
Disease-state	Tfh	Allograft rejection	0.0027	0.024
Disease-state	Tfh	Graft-versus-host disease	0.0027	0.024
Disease-state	Tfh	Apoptosis	0.0028	0.024
Disease-state	Tfh	Human immunodeficiency virus 1 infection	0.0028	0.025
Disease-state	Tfh	Cholinergic synapse	0.0032	0.027
Disease-state	Tfh	Shigellosis	0.0041	0.034
Disease-state	Tfh	RIG-I-like receptor signaling pathway	0.0056	0.045
Disease-state	Tfh	Transcriptional misregulation in cancer	0.0063	0.049
Disease-state	Tfh	Toll-like receptor signaling pathway	0.01	0.077
Disease-state	Tfh	Pathogenic Escherichia coli infection	0.01	0.077
Disease-state	Tfh	Proteasome	0.011	0.077
Disease-state	Tfh	Bladder cancer	0.011	0.078
Disease-state	Tfh	Asthma	0.012	0.082
Disease-state	Tfh	TGF-beta signaling pathway	0.018	0.12
Disease-state	Tfh	Pancreatic cancer	0.02	0.13
Disease-state	Tfh	Colorectal cancer	0.023	0.15
Disease-state	Tfh	Chagas disease	0.024	0.15
Disease-state	Tfh	FoxO signaling pathway	0.024	0.15
Disease-state	Tfh	Staphylococcus aureus infection	0.025	0.15
Disease-state	Tfh	MicroRNAs in cancer	0.025	0.15
Disease-state	Tfh	Cell cycle	0.026	0.15
Disease-state	Tfh	Cell adhesion molecules	0.027	0.15
Disease-state	Tfh	Gastric cancer	0.03	0.17
Disease-state	Tfh	NF-kappa B signaling pathway	0.03	0.17
Disease-state	Tfh	Central carbon metabolism in cancer	0.03	0.17
Disease-state	Tfh	Apoptosis - multiple species	0.032	0.17
Disease-state	Tfh	p53 signaling pathway	0.032	0.17
Disease-state	Tfh	Steroid biosynthesis	0.033	0.17
Disease-state	Tfh	Viral myocarditis	0.033	0.17
Disease-state	Tfh	Type II diabetes mellitus	0.039	0.19
Disease-state	Tfh	Herpes simplex virus 1 infection	0.039	0.19
Disease-state	Tfh	One carbon pool by folate	0.04	0.19
Disease-state	Tfh	AGE-RAGE signaling pathway in diabetic complications	0.041	0.2
Disease-state	Tfh	Glycolysis / Gluconeogenesis	0.042	0.2
Disease-state	Tfh	Human papillomavirus infection	0.045	0.21
Disease-state	Tfh	Small cell lung cancer	0.046	0.21
Disease-state	Tfh	Salmonella infection	0.049	0.22
Disease-state	Tfh	Protein processing in endoplasmic reticulum	0.049	0.22
Disease-state	Tfh	Osteoclast differentiation	0.05	0.22
Disease-state	Fr. I nTreg	Parkinson disease	3.7e-13	1.2e-10
Disease-state	Fr. I nTreg	Proteasome	9.8e-11	1.5e-08
Disease-state	Fr. I nTreg	Prion disease	9e-10	9.5e-08
Disease-state	Fr. I nTreg	Alzheimer disease	4.2e-08	3.3e-06
Disease-state	Fr. I nTreg	Amyotrophic lateral sclerosis	1.3e-07	8.2e-06
Disease-state	Fr. I nTreg	Pathways of neurodegeneration - multiple diseases	1.7e-07	8.7e-06
Disease-state	Fr. I nTreg	Influenza A	3.7e-06	0.00017
Disease-state	Fr. I nTreg	Huntington disease	6.3e-06	0.00025
Disease-state	Fr. I nTreg	Hepatitis C	9.7e-06	0.00034
Disease-state	Fr. I nTreg	NOD-like receptor signaling pathway	1.5e-05	0.00048
Disease-state	Fr. I nTreg	Oxidative phosphorylation	4.5e-05	0.0013
Disease-state	Fr. I nTreg	Non-alcoholic fatty liver disease	5.8e-05	0.0015
Disease-state	Fr. I nTreg	Measles	6.4e-05	0.0015
Disease-state	Fr. I nTreg	Necroptosis	9.2e-05	0.0021
Disease-state	Fr. I nTreg	Diabetic cardiomyopathy	0.00033	0.0069
Disease-state	Fr. I nTreg	Epstein-Barr virus infection	0.00056	0.011
Disease-state	Fr. I nTreg	JAK-STAT signaling pathway	0.00057	0.011
Disease-state	Fr. I nTreg	Hepatitis B	0.0015	0.026
Disease-state	Fr. I nTreg	Spinocerebellar ataxia	0.002	0.034
Disease-state	Fr. I nTreg	Chemical carcinogenesis - reactive oxygen species	0.0031	0.049
Disease-state	Fr. I nTreg	Thermogenesis	0.004	0.061
Disease-state	Fr. I nTreg	Human immunodeficiency virus 1 infection	0.0047	0.068
Disease-state	Fr. I nTreg	Apoptosis	0.0057	0.078
Disease-state	Fr. I nTreg	Salmonella infection	0.0061	0.078
Disease-state	Fr. I nTreg	Cellular senescence	0.0062	0.078
Disease-state	Fr. I nTreg	Biosynthesis of amino acids	0.0066	0.08
Disease-state	Fr. I nTreg	Human cytomegalovirus infection	0.007	0.082
Disease-state	Fr. I nTreg	TGF-beta signaling pathway	0.0079	0.089
Disease-state	Fr. I nTreg	Human T-cell leukemia virus 1 infection	0.0085	0.092
Disease-state	Fr. I nTreg	Retrograde endocannabinoid signaling	0.0097	0.1
Disease-state	Fr. I nTreg	NF-kappa B signaling pathway	0.011	0.11
Disease-state	Fr. I nTreg	Osteoclast differentiation	0.015	0.15
Disease-state	Fr. I nTreg	Cardiac muscle contraction	0.016	0.15
Disease-state	Fr. I nTreg	Kaposi sarcoma-associated herpesvirus infection	0.017	0.15
Disease-state	Fr. I nTreg	Apoptosis - multiple species	0.02	0.18
Disease-state	Fr. I nTreg	Viral carcinogenesis	0.02	0.18
Disease-state	Fr. I nTreg	HIF-1 signaling pathway	0.023	0.19
Disease-state	Fr. I nTreg	Carbon metabolism	0.023	0.19
Disease-state	Fr. I nTreg	Prolactin signaling pathway	0.025	0.2
Disease-state	Fr. I nTreg	Insulin resistance	0.025	0.2
Disease-state	Fr. I nTreg	Pertussis	0.028	0.21
Disease-state	Fr. I nTreg	Toxoplasmosis	0.029	0.21
Disease-state	Fr. I nTreg	Chronic myeloid leukemia	0.03	0.21
Disease-state	Fr. I nTreg	RIG-I-like receptor signaling pathway	0.03	0.21
Disease-state	Fr. I nTreg	Endocytosis	0.03	0.21
Disease-state	Fr. I nTreg	Parathyroid hormone synthesis, secretion and action	0.032	0.22
Disease-state	Fr. I nTreg	Th17 cell differentiation	0.034	0.23
Disease-state	Fr. I nTreg	p53 signaling pathway	0.035	0.23
Disease-state	Fr. I nTreg	Circadian rhythm	0.036	0.23
Disease-state	Fr. I nTreg	FoxO signaling pathway	0.036	0.23
