Response	Database	Cell type	Annotation	Pvalue	FDR
Good	KEGG	USM B	Pathways in cancer	0.037	0.36
Good	KEGG	USM B	Glycine, serine and threonine metabolism	0.037	0.36
Good	KEGG	USM B	NF-kappa B signaling pathway	0.043	0.4
Good	KEGG	USM B	Natural killer cell mediated cytotoxicity	0.043	0.4
Good	KEGG	USM B	Cytokine-cytokine receptor interaction	0.046	0.41
Good	KEGG	USM B	Diabetic cardiomyopathy	0.047	0.41
Good	KEGG	SM B	Glycolysis / Gluconeogenesis	7.4e-05	0.023
Good	KEGG	SM B	Biosynthesis of amino acids	0.0002	0.03
Good	KEGG	SM B	Carbon metabolism	0.00065	0.056
Good	KEGG	SM B	Viral myocarditis	0.00072	0.056
Good	KEGG	SM B	Epstein-Barr virus infection	0.0014	0.085
Good	KEGG	SM B	C-type lectin receptor signaling pathway	0.0054	0.21
Good	KEGG	SM B	Cell adhesion molecules	0.0083	0.21
Good	KEGG	SM B	Alcoholic liver disease	0.0086	0.21
Good	KEGG	SM B	NOD-like receptor signaling pathway	0.0095	0.21
Good	KEGG	SM B	TNF signaling pathway	0.01	0.21
Good	KEGG	SM B	Arginine and proline metabolism	0.01	0.21
Good	KEGG	SM B	Autoimmune thyroid disease	0.01	0.21
Good	KEGG	SM B	Allograft rejection	0.01	0.21
Good	KEGG	SM B	Graft-versus-host disease	0.01	0.21
Good	KEGG	SM B	NF-kappa B signaling pathway	0.011	0.21
Good	KEGG	SM B	Citrate cycle (TCA cycle)	0.011	0.21
Good	KEGG	SM B	Toxoplasmosis	0.011	0.21
Good	KEGG	SM B	Neurotrophin signaling pathway	0.012	0.22
Good	KEGG	SM B	Type I diabetes mellitus	0.015	0.24
Good	KEGG	SM B	Renin-angiotensin system	0.016	0.24
Good	KEGG	SM B	TGF-beta signaling pathway	0.019	0.28
Good	KEGG	SM B	Pentose phosphate pathway	0.022	0.3
Good	KEGG	SM B	Tryptophan metabolism	0.022	0.3
Good	KEGG	SM B	Glyoxylate and dicarboxylate metabolism	0.027	0.35
Good	KEGG	SM B	Th17 cell differentiation	0.034	0.4
Good	KEGG	SM B	Regulation of actin cytoskeleton	0.036	0.4
Good	KEGG	SM B	MicroRNAs in cancer	0.036	0.4
Good	KEGG	SM B	Necroptosis	0.036	0.4
Good	KEGG	SM B	Th1 and Th2 cell differentiation	0.037	0.4
Good	KEGG	SM B	Cellular senescence	0.041	0.42
Good	KEGG	SM B	Pyruvate metabolism	0.044	0.42
Good	KEGG	SM B	Ether lipid metabolism	0.044	0.42
Good	KEGG	SM B	Propanoate metabolism	0.044	0.42
Good	KEGG	SM B	Pathogenic Escherichia coli infection	0.046	0.42
Good	KEGG	SM B	Yersinia infection	0.048	0.42
Good	KEGG	SM B	RIG-I-like receptor signaling pathway	0.049	0.42
Good	KEGG	DN B	Th1 and Th2 cell differentiation	3.1e-05	0.0058
Good	KEGG	DN B	TNF signaling pathway	4.4e-05	0.0058
Good	KEGG	DN B	Th17 cell differentiation	0.00015	0.013
Good	KEGG	DN B	Epstein-Barr virus infection	0.0004	0.027
Good	KEGG	DN B	NOD-like receptor signaling pathway	0.0017	0.078
Good	KEGG	DN B	NF-kappa B signaling pathway	0.0019	0.078
Good	KEGG	DN B	C-type lectin receptor signaling pathway	0.0021	0.078
Good	KEGG	DN B	Osteoclast differentiation	0.0029	0.092
Good	KEGG	DN B	Human T-cell leukemia virus 1 infection	0.0034	0.092
Good	KEGG	DN B	Pathways in cancer	0.0035	0.092
Good	KEGG	DN B	JAK-STAT signaling pathway	0.0042	0.1
Good	KEGG	DN B	Chemokine signaling pathway	0.0061	0.13
Good	KEGG	DN B	MAPK signaling pathway	0.007	0.14
Good	KEGG	DN B	Axon guidance	0.0073	0.14
Good	KEGG	DN B	Inflammatory bowel disease	0.0081	0.14
Good	KEGG	DN B	Intestinal immune network for IgA production	0.0092	0.15
Good	KEGG	DN B	Measles	0.011	0.18
Good	KEGG	DN B	Necroptosis	0.013	0.18
Good	KEGG	DN B	Tuberculosis	0.014	0.19
Good	KEGG	DN B	Cytokine-cytokine receptor interaction	0.015	0.2
Good	KEGG	DN B	Viral protein interaction with cytokine and cytokine receptor	0.016	0.2
Good	KEGG	DN B	T cell receptor signaling pathway	0.025	0.29
Good	KEGG	DN B	PI3K-Akt signaling pathway	0.025	0.29
Good	KEGG	DN B	PD-L1 expression and PD-1 checkpoint pathway in cancer	0.034	0.37
Good	KEGG	DN B	Olfactory transduction	0.041	0.43
Poor	HALLMARK	Naive B	HALLMARK_APOPTOSIS	0.035	0.72
Poor	HALLMARK	Naive B	HALLMARK_INTERFERON_GAMMA_RESPONSE	0.039	0.72
Poor	HALLMARK	Naive B	HALLMARK_INFLAMMATORY_RESPONSE	0.046	0.72
Poor	HALLMARK	USM B	HALLMARK_APOPTOSIS	0.0072	0.26
Poor	HALLMARK	USM B	HALLMARK_IL2_STAT5_SIGNALING	0.011	0.26
Poor	HALLMARK	USM B	HALLMARK_ESTROGEN_RESPONSE_LATE	0.021	0.29
Poor	HALLMARK	USM B	HALLMARK_BILE_ACID_METABOLISM	0.025	0.29
Poor	HALLMARK	USM B	HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.039	0.35
Poor	HALLMARK	SM B	HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.012	0.42
Poor	HALLMARK	SM B	HALLMARK_ALLOGRAFT_REJECTION	0.018	0.42
Poor	HALLMARK	DN B	HALLMARK_COMPLEMENT	0.016	0.36
Poor	KEGG	USM B	Th17 cell differentiation	0.00012	0.027
Poor	KEGG	USM B	NOD-like receptor signaling pathway	0.0041	0.48
Poor	KEGG	USM B	Human T-cell leukemia virus 1 infection	0.0068	0.53
Poor	KEGG	USM B	JAK-STAT signaling pathway	0.011	0.67
Poor	KEGG	USM B	Pathways in cancer	0.021	0.92
Poor	KEGG	USM B	Gastric cancer	0.027	0.92
Poor	KEGG	USM B	Th1 and Th2 cell differentiation	0.033	0.92
Poor	KEGG	USM B	Alanine, aspartate and glutamate metabolism	0.042	0.92
Poor	KEGG	USM B	Glycosaminoglycan biosynthesis - keratan sulfate	0.049	0.92
Poor	KEGG	USM B	Glycosphingolipid biosynthesis - ganglio series	0.049	0.92
