Agent	Database	Cell type	Annotation	Pvalue	FDR
MMF	KEGG	CM CD8	Platinum drug resistance	0.0055	0.052
MMF	KEGG	CM CD8	Pyrimidine metabolism	0.0064	0.059
MMF	KEGG	CM CD8	Biosynthesis of amino acids	0.0079	0.069
MMF	KEGG	CM CD8	Pyruvate metabolism	0.008	0.069
MMF	KEGG	CM CD8	Purine metabolism	0.012	0.098
MMF	KEGG	CM CD8	Cellular senescence	0.015	0.12
MMF	KEGG	CM CD8	Mineral absorption	0.016	0.13
MMF	KEGG	CM CD8	Glyoxylate and dicarboxylate metabolism	0.016	0.13
MMF	KEGG	CM CD8	Epstein-Barr virus infection	0.017	0.13
MMF	KEGG	CM CD8	Arginine and proline metabolism	0.019	0.14
MMF	KEGG	CM CD8	Glycine, serine and threonine metabolism	0.024	0.17
MMF	KEGG	CM CD8	Progesterone-mediated oocyte maturation	0.024	0.17
MMF	KEGG	CM CD8	p53 signaling pathway	0.028	0.19
MMF	KEGG	CM CD8	Propanoate metabolism	0.028	0.19
MMF	KEGG	CM CD8	RNA degradation	0.031	0.2
MMF	KEGG	CM CD8	Neutrophil extracellular trap formation	0.031	0.2
MMF	KEGG	CM CD8	2-Oxocarboxylic acid metabolism	0.034	0.21
MMF	KEGG	CM CD8	Nucleotide excision repair	0.035	0.21
MMF	KEGG	CM CD8	Glycolysis / Gluconeogenesis	0.044	0.26
MMF	KEGG	CM CD8	Ubiquinone and other terpenoid-quinone biosynthesis	0.047	0.28
MMF	KEGG	Plasmablast	Oxidative phosphorylation	1.2e-12	2.3e-10
MMF	KEGG	Plasmablast	Ribosome	1.4e-12	2.3e-10
MMF	KEGG	Plasmablast	Diabetic cardiomyopathy	5.7e-09	6.2e-07
MMF	KEGG	Plasmablast	Parkinson disease	2.8e-08	2.3e-06
MMF	KEGG	Plasmablast	Metabolic pathways	5.3e-07	3.4e-05
MMF	KEGG	Plasmablast	DNA replication	9.9e-07	4.9e-05
MMF	KEGG	Plasmablast	Thermogenesis	1.1e-06	4.9e-05
MMF	KEGG	Plasmablast	Chemical carcinogenesis - reactive oxygen species	9.1e-06	0.00037
MMF	KEGG	Plasmablast	Biosynthesis of amino acids	1.4e-05	0.00052
MMF	KEGG	Plasmablast	Prion disease	1.7e-05	0.00055
MMF	KEGG	Plasmablast	Amyotrophic lateral sclerosis	6.3e-05	0.0019
MMF	KEGG	Plasmablast	Alzheimer disease	0.00016	0.0044
MMF	KEGG	Plasmablast	Non-alcoholic fatty liver disease	0.00019	0.0047
MMF	KEGG	Plasmablast	Huntington disease	0.00029	0.0067
MMF	KEGG	Plasmablast	Carbon metabolism	0.00036	0.0077
MMF	KEGG	Plasmablast	Coronavirus disease - COVID-19	0.00038	0.0077
MMF	KEGG	Plasmablast	Citrate cycle (TCA cycle)	0.00055	0.01
MMF	KEGG	Plasmablast	Cardiac muscle contraction	0.001	0.019
MMF	KEGG	Plasmablast	2-Oxocarboxylic acid metabolism	0.0015	0.025
MMF	KEGG	Plasmablast	Pathways of neurodegeneration - multiple diseases	0.0019	0.03
MMF	KEGG	Plasmablast	Cell cycle	0.002	0.031
MMF	KEGG	Plasmablast	Lysosome	0.0028	0.042
MMF	KEGG	Plasmablast	p53 signaling pathway	0.0069	0.096
MMF	KEGG	Plasmablast	Glycolysis / Gluconeogenesis	0.0071	0.096
MMF	KEGG	Plasmablast	Cysteine and methionine metabolism	0.0099	0.13
MMF	KEGG	Plasmablast	Apoptosis	0.011	0.13
MMF	KEGG	Plasmablast	Steroid biosynthesis	0.012	0.14
MMF	KEGG	Plasmablast	Fatty acid degradation	0.012	0.14
MMF	KEGG	Plasmablast	Arginine and proline metabolism	0.016	0.17
MMF	KEGG	Plasmablast	Base excision repair	0.016	0.17
MMF	KEGG	Plasmablast	Vibrio cholerae infection	0.021	0.22
MMF	KEGG	Plasmablast	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0.03	0.3
MMF	KEGG	Plasmablast	Aminoacyl-tRNA biosynthesis	0.033	0.32
MMF	KEGG	Plasmablast	HIF-1 signaling pathway	0.04	0.38
MMF	KEGG	Plasmablast	Salivary secretion	0.048	0.45
TAC	HALLMARK	Fr. III T	HALLMARK_E2F_TARGETS	5.6e-35	2.8e-33
TAC	HALLMARK	Fr. III T	HALLMARK_G2M_CHECKPOINT	9.2e-28	2.3e-26
TAC	HALLMARK	Fr. III T	HALLMARK_MITOTIC_SPINDLE	7e-06	0.00012
TAC	HALLMARK	Fr. III T	HALLMARK_IL2_STAT5_SIGNALING	0.00054	0.0067
TAC	HALLMARK	Fr. III T	HALLMARK_SPERMATOGENESIS	0.01	0.1
TAC	HALLMARK	Fr. III T	HALLMARK_PANCREAS_BETA_CELLS	0.043	0.36
TAC	KEGG	Fr. III T	Cell cycle	3.3e-16	9.8e-14
TAC	KEGG	Fr. III T	DNA replication	2.9e-07	4.3e-05
TAC	KEGG	Fr. III T	Cellular senescence	3.2e-05	0.0032
TAC	KEGG	Fr. III T	Oocyte meiosis	4.4e-05	0.0032
TAC	KEGG	Fr. III T	MicroRNAs in cancer	7.5e-05	0.0044
TAC	KEGG	Fr. III T	p53 signaling pathway	0.00021	0.0091
TAC	KEGG	Fr. III T	JAK-STAT signaling pathway	0.00022	0.0091
TAC	KEGG	Fr. III T	FoxO signaling pathway	0.0004	0.015
TAC	KEGG	Fr. III T	Progesterone-mediated oocyte maturation	0.0006	0.02
TAC	KEGG	Fr. III T	Pathways in cancer	0.0012	0.034
TAC	KEGG	Fr. III T	Base excision repair	0.0016	0.043
TAC	KEGG	Fr. III T	Small cell lung cancer	0.0024	0.059
TAC	KEGG	Fr. III T	Mismatch repair	0.013	0.29
TAC	KEGG	Fr. III T	Transcriptional misregulation in cancer	0.014	0.29
TAC	KEGG	Fr. III T	Endocrine and other factor-regulated calcium reabsorption	0.015	0.29
TAC	KEGG	Fr. III T	One carbon pool by folate	0.018	0.32
TAC	KEGG	Fr. III T	Vibrio cholerae infection	0.022	0.39
TAC	KEGG	Fr. III T	Cytokine-cytokine receptor interaction	0.025	0.41
TAC	KEGG	Fr. III T	Hepatitis B	0.033	0.51
TAC	KEGG	Fr. III T	Fanconi anemia pathway	0.036	0.52
TAC	KEGG	Fr. III T	HIF-1 signaling pathway	0.037	0.52
TAC	KEGG	Fr. III T	Pyrimidine metabolism	0.048	0.6
TAC	KEGG	Fr. III T	Carbohydrate digestion and absorption	0.049	0.6
TAC	KEGG	Fr. III T	Phospholipase D signaling pathway	0.049	0.6
