Description	subset	activity	state
Oxidative phosphorylation	A03_UnswMB	0.997149314017353	1.41971624203303e-20
Biosynthesis of amino acids	A04_DNB	0.021718480984131	0.0136516966129794
Citrate cycle (TCA cycle)	A04_DNB	0.0437667582712241	0.00673589190409439
Glyoxylate and dicarboxylate metabolism	A04_DNB	0.106373134542296	0.219305532458799
Carbon metabolism	A04_DNB	0.280656046891303	0.00648326455331574
Metabolic pathways	A04_DNB	0.518546484739191	0.00665260586270971
Glycolysis / Gluconeogenesis	A04_DNB	0.681239159552032	0.00305672597559994
Terpenoid backbone biosynthesis	A04_DNB	0.746946757619708	0.000372067172986062
Pentose phosphate pathway	A04_DNB	0.840110891877614	0.0898388247782756
Oxidative phosphorylation	A04_DNB	0.95090818200885	6.97551445676997e-15
Oxidative phosphorylation	A05_PB	0.0069966349886301	0.449446686328683
Glyoxylate and dicarboxylate metabolism	A05_PB	0.166624980190884	0.877788264869975
Biosynthesis of amino acids	A05_PB	0.186460139385554	0.308246107920265
Ubiquinone and other terpenoid-quinone biosynthesis	A05_PB	0.238388933952353	0.189495461487438
Terpenoid backbone biosynthesis	A05_PB	0.303598902163291	0.779621298521751
Citrate cycle (TCA cycle)	A05_PB	0.385299775525964	0.167781303954472
Glycolysis / Gluconeogenesis	A05_PB	0.427938736208733	0.17317077974116
Metabolic pathways	A05_PB	0.58976766836813	0.84735287105696
Carbon metabolism	A05_PB	0.704148040749669	0.674027117893596
Pentose phosphate pathway	A05_PB	0.774736316396157	0.303620813646024
Steroid biosynthesis	A05_PB	0.972889455091283	0.192851893532379
Oxidative phosphorylation	B01_Th1	2.84117269217843e-13	1.56218526363913e-10
Carbon metabolism	B01_Th1	0.000220216310764062	0.0636428101729582
Citrate cycle (TCA cycle)	B01_Th1	0.00190240256493417	0.0283621749226239
Pentose phosphate pathway	B01_Th1	0.00256638413448669	0.298351754189162
Metabolic pathways	B01_Th1	0.00280277281435556	0.268676341560934
Biosynthesis of amino acids	B01_Th1	0.0037885594397554	0.000327455834861493
Glycolysis / Gluconeogenesis	B01_Th1	0.0540938200351152	0.0525052304966213
Glyoxylate and dicarboxylate metabolism	B01_Th1	0.0913234424861759	0.522170704666935
Ubiquinone and other terpenoid-quinone biosynthesis	B01_Th1	0.098991998021551	0.703891322877613
Terpenoid backbone biosynthesis	B01_Th1	0.245671183004542	0.211331239595833
Steroid biosynthesis	B01_Th1	0.675695977566684	0.120742205321072
Pentose phosphate pathway	B02_Th2	0.0957375282143165	0.359221276773497
Glyoxylate and dicarboxylate metabolism	B02_Th2	0.109998120540581	0.804190134536708
Carbon metabolism	B02_Th2	0.126037900588194	0.745808334935199
Citrate cycle (TCA cycle)	B02_Th2	0.141353863729827	0.464132963342058
Biosynthesis of amino acids	B02_Th2	0.378669370809093	0.609179539229206
Glycolysis / Gluconeogenesis	B02_Th2	0.546781602430996	0.518585112272419
Ubiquinone and other terpenoid-quinone biosynthesis	B02_Th2	0.665881686778388	0.834445403987039
Terpenoid backbone biosynthesis	B02_Th2	0.861214528218532	0.587886283261176
Steroid biosynthesis	B02_Th2	0.875661081719238	0.626353211546356
Oxidative phosphorylation	B02_Th2	0.921218190501059	0.00178534243658269
Metabolic pathways	B02_Th2	0.952543311328063	0.927314575444972
Citrate cycle (TCA cycle)	B03_TH17	0.0124590922395273	0.504469483006996
Carbon metabolism	B03_TH17	0.0236845009261933	0.859448835951968
Glyoxylate and dicarboxylate metabolism	B03_TH17	0.0292459596647073	0.463539960043267
Pentose phosphate pathway	B03_TH17	0.0768693771888032	0.78461812412163
Oxidative phosphorylation	B03_TH17	0.123098837376278	0.998692897237806
Glycolysis / Gluconeogenesis	B03_TH17	0.167179445576567	0.162601185732159
Biosynthesis of amino acids	B03_TH17	0.316115285457195	0.27566975429169
Metabolic pathways	B03_TH17	0.39505340414514	0.786930137538254
Terpenoid backbone biosynthesis	B03_TH17	0.841839809987327	NA
Glyoxylate and dicarboxylate metabolism	B04_Tfh	0.0237411994157642	NA
Carbon metabolism	B04_Tfh	0.112945149785464	0.766684662794487
Pentose phosphate pathway	B04_Tfh	0.151538545585278	0.968361704133163
Biosynthesis of amino acids	B04_Tfh	0.237700903255777	0.224653671344162
Metabolic pathways	B04_Tfh	0.285229791245826	0.977683923319373
Citrate cycle (TCA cycle)	B04_Tfh	0.408145544102917	0.289434342510058
Glycolysis / Gluconeogenesis	B04_Tfh	0.50020184775017	0.0420598072565149
Terpenoid backbone biosynthesis	B04_Tfh	0.65332412599601	0.715320094954692
Steroid biosynthesis	B04_Tfh	0.682888776634882	0.0325783616637684
Oxidative phosphorylation	B04_Tfh	0.703983621238494	0.996102729447733
Citrate cycle (TCA cycle)	B05_NCD4	0.0675740257526971	0.113517372088161
Pentose phosphate pathway	B05_NCD4	0.132366484885961	0.624907034772941
Carbon metabolism	B05_NCD4	0.177490665137812	0.360269715738554
Biosynthesis of amino acids	B05_NCD4	0.333210391939358	0.159931083530825
Glyoxylate and dicarboxylate metabolism	B05_NCD4	0.343516464791619	0.66325892548859
Glycolysis / Gluconeogenesis	B05_NCD4	0.349563326717699	0.0696863734960995
Terpenoid backbone biosynthesis	B05_NCD4	0.446817910664037	0.786046574016044
Ubiquinone and other terpenoid-quinone biosynthesis	B05_NCD4	0.579353736942205	0.914589926552439
Steroid biosynthesis	B05_NCD4	0.807329554494941	0.217857495912257
Metabolic pathways	B05_NCD4	0.92960188734826	0.0938929037668113
Oxidative phosphorylation	B05_NCD4	0.937249523628862	2.94281260859962e-15
Metabolic pathways	B06_MCD4	0.10581565971223	0.472159853199309
Ubiquinone and other terpenoid-quinone biosynthesis	B06_MCD4	0.213074786678375	NA
Pentose phosphate pathway	B06_MCD4	0.216697981322218	0.722745884402958
Glyoxylate and dicarboxylate metabolism	B06_MCD4	0.254663969400618	0.562353346138555
Biosynthesis of amino acids	B06_MCD4	0.312263476235115	0.322032042933858
Citrate cycle (TCA cycle)	B06_MCD4	0.335613124862726	0.0094303194979292
Carbon metabolism	B06_MCD4	0.336393387652115	0.185981850205756
Steroid biosynthesis	B06_MCD4	0.515589888045598	0.0619725376265917
Glycolysis / Gluconeogenesis	B06_MCD4	0.849551511050264	0.116671257356633
Terpenoid backbone biosynthesis	B06_MCD4	0.855242370677675	0.124124659649564
Oxidative phosphorylation	B06_MCD4	0.967619091652512	5.06625932748511e-09
Ubiquinone and other terpenoid-quinone biosynthesis	B07_aTreg	0.243784194655805	NA
Citrate cycle (TCA cycle)	B07_aTreg	0.249885929089072	0.927476080876231
Glyoxylate and dicarboxylate metabolism	B07_aTreg	0.427400762381006	0.686520608008848
Terpenoid backbone biosynthesis	B07_aTreg	0.52000018257995	NA
Biosynthesis of amino acids	B07_aTreg	0.639696180785914	0.0756983648591466
Metabolic pathways	B07_aTreg	0.75646727399375	0.863981868341574
Glycolysis / Gluconeogenesis	B07_aTreg	0.83644829180496	0.138347617718652
Steroid biosynthesis	B07_aTreg	0.849802652795057	0.253788699152197
Pentose phosphate pathway	B07_aTreg	0.908907344431657	0.664440486851727
Carbon metabolism	B07_aTreg	0.90899321925853	0.281953585711214
Oxidative phosphorylation	B07_aTreg	0.972884303798953	0.967665677453432
Ubiquinone and other terpenoid-quinone biosynthesis	B09_Fra1	0.160986429327158	NA
Glyoxylate and dicarboxylate metabolism	B09_Fra1	0.271457495863282	0.063721713105893
Citrate cycle (TCA cycle)	B09_Fra1	0.31222577760593	0.0908684588221313
Terpenoid backbone biosynthesis	B09_Fra1	0.380019602308166	0.26827836901808
Biosynthesis of amino acids	B09_Fra1	0.399611627444666	0.00659632520839703
Glycolysis / Gluconeogenesis	B09_Fra1	0.448427122578201	0.0755150782535435
Pentose phosphate pathway	B09_Fra1	0.529124951538642	0.2733064488792
Carbon metabolism	B09_Fra1	0.564352457039086	0.0229200533342095
Metabolic pathways	B09_Fra1	0.869747852196852	0.64643467633817
Oxidative phosphorylation	B09_Fra1	0.878499808937169	4.49509750781786e-05
Glyoxylate and dicarboxylate metabolism	B10_Fra3	0.277935222855904	0.903135839055145
Carbon metabolism	B10_Fra3	0.578241000581003	0.843690020519103
Citrate cycle (TCA cycle)	B10_Fra3	0.601224562206731	0.997654262556767
Glycolysis / Gluconeogenesis	B10_Fra3	0.682944638332604	0.036580351585988
Terpenoid backbone biosynthesis	B10_Fra3	0.747862327139878	0.982278308469424
Steroid biosynthesis	B10_Fra3	0.766474620314938	0.546945016408822
Pentose phosphate pathway	B10_Fra3	0.840882216218305	0.738327363189344
Biosynthesis of amino acids	B10_Fra3	0.930102327804455	0.732216650803712
Oxidative phosphorylation	B10_Fra3	0.95157945104367	0.998615361595608
Metabolic pathways	B10_Fra3	0.963376345362942	0.647967661327043
Pentose phosphate pathway	C01_NCD8	0.0136210174464344	0.375617396771548
Biosynthesis of amino acids	C01_NCD8	0.0494602159396409	0.0648286297079167
Carbon metabolism	C01_NCD8	0.123088954230757	0.0550367671900019
Citrate cycle (TCA cycle)	C01_NCD8	0.179452117680933	0.00450247323654718
Terpenoid backbone biosynthesis	C01_NCD8	0.616533092598986	0.912327753171909
Glyoxylate and dicarboxylate metabolism	C01_NCD8	0.788888456247009	0.0558936855445308
Glycolysis / Gluconeogenesis	C01_NCD8	0.789959689015925	0.0892793243101987
Metabolic pathways	C01_NCD8	0.814572531217326	0.809975131188989
Oxidative phosphorylation	C01_NCD8	0.832952573754295	0.102630048771412
Citrate cycle (TCA cycle)	C03_EffectorCD8	0.00173128572733006	0.78909158779836
Biosynthesis of amino acids	C03_EffectorCD8	0.0113253116629243	0.395428962536486
Carbon metabolism	C03_EffectorCD8	0.0164874863342265	0.459979408068899
Glyoxylate and dicarboxylate metabolism	C03_EffectorCD8	0.0263058605295084	0.41130414923796
Ubiquinone and other terpenoid-quinone biosynthesis	C03_EffectorCD8	0.0422204900911885	NA
Pentose phosphate pathway	C03_EffectorCD8	0.119591640464026	0.391283564958164
Glycolysis / Gluconeogenesis	C03_EffectorCD8	0.290487625041053	0.0451196054932993
Metabolic pathways	C03_EffectorCD8	0.70936114958968	0.235084695979407
Oxidative phosphorylation	C03_EffectorCD8	0.720428407073231	0.00451854741706806
Steroid biosynthesis	C03_EffectorCD8	0.804163696023921	0.00319946112227373
Terpenoid backbone biosynthesis	C03_EffectorCD8	0.921951818457179	0.266294235131357
Citrate cycle (TCA cycle)	C04_CmCD8	0.0233532065080892	0.623577253378435
Oxidative phosphorylation	C04_CmCD8	0.0351505443709976	0.390361260844587
Carbon metabolism	C04_CmCD8	0.0351898085569597	0.323703999715657
Metabolic pathways	C04_CmCD8	0.0367238182640512	0.773208833821618
Biosynthesis of amino acids	C04_CmCD8	0.0787651096487249	0.027708225920652
Pentose phosphate pathway	C04_CmCD8	0.0973641226404064	0.85274891519309
Glycolysis / Gluconeogenesis	C04_CmCD8	0.181500537506106	0.00244572499430634
Glyoxylate and dicarboxylate metabolism	C04_CmCD8	0.448957588997387	0.581002479171509
Terpenoid backbone biosynthesis	C04_CmCD8	0.45207923563583	0.762092641504063
Ubiquinone and other terpenoid-quinone biosynthesis	C04_CmCD8	0.768900521534713	NA
Oxidative phosphorylation	C05_EmCD8	1.28563186001483e-06	1.69703992258614e-10
Carbon metabolism	C05_EmCD8	0.0001669356502361	0.323486041580224
Biosynthesis of amino acids	C05_EmCD8	0.000517177009734855	0.0842002491460064
Citrate cycle (TCA cycle)	C05_EmCD8	0.00112206904315023	0.203720833955542
Glyoxylate and dicarboxylate metabolism	C05_EmCD8	0.00121998262335151	0.64497833268362
Ubiquinone and other terpenoid-quinone biosynthesis	C05_EmCD8	0.00286216968535258	0.910002972538037
Pentose phosphate pathway	C05_EmCD8	0.0232220603512828	0.409220391965306
Metabolic pathways	C05_EmCD8	0.0254096680430587	0.29060470511001
Terpenoid backbone biosynthesis	C05_EmCD8	0.0946149729482247	0.0698112791186915
Glycolysis / Gluconeogenesis	C05_EmCD8	0.0968770318277307	0.11124730386185
Steroid biosynthesis	C05_EmCD8	0.9112758524585	0.00264049900538331
Biosynthesis of amino acids	D01_mDC	0.240515608660981	0.0573714403424091
Pentose phosphate pathway	D01_mDC	0.32445406355074	0.460401912467818
Glycolysis / Gluconeogenesis	D01_mDC	0.332790738090697	0.128034922922498
Glyoxylate and dicarboxylate metabolism	D01_mDC	0.592475268151739	0.0570647589356567
Metabolic pathways	D01_mDC	0.696579872447224	0.878460336004735
Carbon metabolism	D01_mDC	0.840184964627296	0.0952657925084915
Terpenoid backbone biosynthesis	D01_mDC	0.900504598469027	0.0020233431948078
Oxidative phosphorylation	D01_mDC	0.939534608818804	0.0580859943246546
Citrate cycle (TCA cycle)	D01_mDC	0.968713654164938	0.00295318875888132
Oxidative phosphorylation	D02_pDC	0.00138929633119217	0.754107932967967
Pentose phosphate pathway	D02_pDC	0.167800756739916	0.388449328457422
Steroid biosynthesis	D02_pDC	0.201802063133956	0.026360107749594
Metabolic pathways	D02_pDC	0.27157584942616	0.0828229079363955
Carbon metabolism	D02_pDC	0.425495514642627	0.112582731641268
Citrate cycle (TCA cycle)	D02_pDC	0.43441335768703	0.0995566751386757
Glycolysis / Gluconeogenesis	D02_pDC	0.534775797229936	0.000917326675199717
Glyoxylate and dicarboxylate metabolism	D02_pDC	0.614364062455502	0.689841255729856
Terpenoid backbone biosynthesis	D02_pDC	0.67244930644784	0.508936225920614
Ubiquinone and other terpenoid-quinone biosynthesis	D02_pDC	0.733790313207233	0.623311693699581
Biosynthesis of amino acids	D02_pDC	0.851418553678419	0.00526796264975326
Carbon metabolism	E01_CD16pMo	0.0396266640571963	0.838039390919578
Glyoxylate and dicarboxylate metabolism	E01_CD16pMo	0.0707240674056843	0.17764222700243
Biosynthesis of amino acids	E01_CD16pMo	0.106353361560589	0.383528258612914
Glycolysis / Gluconeogenesis	E01_CD16pMo	0.156558347855704	0.603863954451951
Citrate cycle (TCA cycle)	E01_CD16pMo	0.216569913619106	0.936419295244555
Pentose phosphate pathway	E01_CD16pMo	0.371372957449806	0.904373072873121
Steroid biosynthesis	E01_CD16pMo	0.467926490967433	0.0188026928366168
Metabolic pathways	E01_CD16pMo	0.52324134224557	0.884995154791794
Ubiquinone and other terpenoid-quinone biosynthesis	E01_CD16pMo	0.826095618172626	NA
Oxidative phosphorylation	E01_CD16pMo	0.961392123724048	0.999309401263552
Terpenoid backbone biosynthesis	E01_CD16pMo	0.980635220657031	0.298451119098492
Citrate cycle (TCA cycle)	E02_CD16nMo	0.0421055078803507	0.030521164807143
Glycolysis / Gluconeogenesis	E02_CD16nMo	0.11794002271712	0.0475454141104215
Glyoxylate and dicarboxylate metabolism	E02_CD16nMo	0.118243185911619	0.121308416681021
Carbon metabolism	E02_CD16nMo	0.128877473147461	0.144998845670044
Steroid biosynthesis	E02_CD16nMo	0.245254738157796	0.0911488051726738
Biosynthesis of amino acids	E02_CD16nMo	0.503762505867137	0.0965175691840769
Metabolic pathways	E02_CD16nMo	0.687730659313784	0.712544877773397
Pentose phosphate pathway	E02_CD16nMo	0.828201862874232	0.804807624151331
Ubiquinone and other terpenoid-quinone biosynthesis	E02_CD16nMo	0.959334695666435	0.847273863508914
Terpenoid backbone biosynthesis	E02_CD16nMo	0.975600128965033	0.617304212450078
Oxidative phosphorylation	E02_CD16nMo	0.993528643769902	0.0225549763569746
Glyoxylate and dicarboxylate metabolism	E03_NonClassical	0.0227268938219243	0.0730701920901857
Carbon metabolism	E03_NonClassical	0.0370491209743913	0.892317102722348
Glycolysis / Gluconeogenesis	E03_NonClassical	0.0501640103810743	0.81951737330404
Biosynthesis of amino acids	E03_NonClassical	0.120255260364881	0.781393054305224
Citrate cycle (TCA cycle)	E03_NonClassical	0.184558559282703	NA
Ubiquinone and other terpenoid-quinone biosynthesis	E03_NonClassical	0.649850145319491	NA
Pentose phosphate pathway	E03_NonClassical	0.769021494568912	0.661047579816414
Metabolic pathways	E03_NonClassical	0.916797821649114	0.999749589427242
Steroid biosynthesis	E03_NonClassical	0.929837969052758	0.025147230614672
Terpenoid backbone biosynthesis	E03_NonClassical	0.985283327678308	NA
Oxidative phosphorylation	E03_NonClassical	0.995297776203209	0.999482607235116
Carbon metabolism	E04_Intermediate	0.0556191661592901	0.793136755111549
Biosynthesis of amino acids	E04_Intermediate	0.160217153511118	0.775809219600277
Glycolysis / Gluconeogenesis	E04_Intermediate	0.163903124837632	0.631450689104054
Glyoxylate and dicarboxylate metabolism	E04_Intermediate	0.243130782404208	0.188274005731684
Citrate cycle (TCA cycle)	E04_Intermediate	0.305992210179589	0.924602249871865
Pentose phosphate pathway	E04_Intermediate	0.388936664958174	0.375810098144109
Terpenoid backbone biosynthesis	E04_Intermediate	0.613291122521791	NA
Metabolic pathways	E04_Intermediate	0.959454530629102	0.879614969328068
Oxidative phosphorylation	E04_Intermediate	0.987999036243624	0.999951575506062
Pentose phosphate pathway	F01_Neu	0.0760162517529784	0.61986332751675
Glycolysis / Gluconeogenesis	F01_Neu	0.0909393036999756	0.584345984622158
Citrate cycle (TCA cycle)	F01_Neu	0.151085001550972	0.0498169541922333
Carbon metabolism	F01_Neu	0.328963269302213	0.350125514460719
Ubiquinone and other terpenoid-quinone biosynthesis	F01_Neu	0.517521525943383	0.152097050770879
Oxidative phosphorylation	F01_Neu	0.559795103596776	0.381180193630514
Biosynthesis of amino acids	F01_Neu	0.676075285854454	0.719085953056019
Glyoxylate and dicarboxylate metabolism	F01_Neu	0.683140344254679	0.288527534710611
Terpenoid backbone biosynthesis	F01_Neu	0.74166492939953	0.569778723003146
Metabolic pathways	F01_Neu	0.919115556252401	0.90049789944122
Steroid biosynthesis	F01_Neu	0.997114018482282	0.940042611429468
Pentose phosphate pathway	F02_LDG	0.00393194748433788	0.710285747242078
Glycolysis / Gluconeogenesis	F02_LDG	0.0468262639417443	0.0365395229872063
Biosynthesis of amino acids	F02_LDG	0.0514014499093798	0.866217344065038
Carbon metabolism	F02_LDG	0.0573785257373063	0.467001020730612
Oxidative phosphorylation	F02_LDG	0.0631755008949494	0.95205613220644
Glyoxylate and dicarboxylate metabolism	F02_LDG	0.120237140603835	0.516157626829837
Citrate cycle (TCA cycle)	F02_LDG	0.308819956145208	0.199067528655086
Ubiquinone and other terpenoid-quinone biosynthesis	F02_LDG	0.529949716020908	0.798026444828822
Metabolic pathways	F02_LDG	0.876739320329038	0.915954531464454
Citrate cycle (TCA cycle)	G01_NK	0.0151663424401139	0.0602976324404177
Biosynthesis of amino acids	G01_NK	0.0376338759106747	0.00192647040037289
Pentose phosphate pathway	G01_NK	0.0968832581106314	0.134548245945611
Ubiquinone and other terpenoid-quinone biosynthesis	G01_NK	0.199591297869342	0.49106738478153
Carbon metabolism	G01_NK	0.212922821146106	0.0378195143120496
Glycolysis / Gluconeogenesis	G01_NK	0.216287646555545	0.0079540346699562
Terpenoid backbone biosynthesis	G01_NK	0.438732750320363	0.301628940904564
Glyoxylate and dicarboxylate metabolism	G01_NK	0.574006640579694	0.0804889369679626
Metabolic pathways	G01_NK	0.72247092005346	0.0030978712966682
Steroid biosynthesis	G01_NK	0.961657682574387	0.0326648729449232
Oxidative phosphorylation	G01_NK	0.986840026274212	1.0682003395654e-09
Pentose phosphate pathway	A01_NaiB	NA	0.0519715390062184
Steroid biosynthesis	A04_DNB	NA	0.207472286714316
Ubiquinone and other terpenoid-quinone biosynthesis	A04_DNB	NA	0.375987510629059
Steroid biosynthesis	B03_TH17	NA	0.330306283385511
Ubiquinone and other terpenoid-quinone biosynthesis	B04_Tfh	NA	0.394725287317744
Steroid biosynthesis	B09_Fra1	NA	0.54590465502302
Ubiquinone and other terpenoid-quinone biosynthesis	C01_NCD8	NA	0.342599017874811
Steroid biosynthesis	C01_NCD8	NA	0.574230722411494
Steroid biosynthesis	C04_CmCD8	NA	0.433174936747392
Steroid biosynthesis	D01_mDC	NA	0.0129033678907415
Steroid biosynthesis	E04_Intermediate	NA	0.0243596520431313
Terpenoid backbone biosynthesis	F02_LDG	NA	0.76849139680404
Steroid biosynthesis	F02_LDG	NA	0.952262838666254
