Cell type	PC	Clinical parameter	Effect size	Standard error	Pvalue	FDR
Naive CD4	PC3	renal	0.29	0.2	0.15	0.73
Naive CD4	PC3	extrarenal	0.035	0.28	0.9	0.99
Naive CD4	PC3	hematological	-0.33	0.26	0.2	0.79
Naive CD4	PC3	serological	0.062	0.17	0.72	0.97
Naive CD4	PC3	HCQ	-0.23	0.17	0.18	0.77
Naive CD4	PC3	MMF	0.054	0.2	0.78	0.98
Naive CD4	PC3	TAC	-0.25	0.2	0.22	0.8
Naive CD4	PC4	InactivevsHC	0.16	0.18	0.38	0.88
Naive CD4	PC4	LDAvsInactive	-0.47	0.22	0.036	0.49
Naive CD4	PC4	MDAvsInactive	-0.063	0.24	0.8	0.98
Naive CD4	PC4	HDAvsInactive	-0.23	0.26	0.39	0.88
Naive CD4	PC4	constitutional	0.16	0.26	0.53	0.93
Naive CD4	PC4	mucocutaneous	0.007	0.19	0.97	  1
Naive CD4	PC4	musculoskeletal	0.024	0.2	0.91	0.99
Naive CD4	PC4	renal	-0.29	0.19	0.13	0.7
Naive CD4	PC4	extrarenal	0.088	0.27	0.75	0.97
Naive CD4	PC4	hematological	0.19	0.25	0.45	0.91
Naive CD4	PC4	serological	-0.33	0.16	0.045	0.53
Naive CD4	PC4	HCQ	0.24	0.17	0.15	0.73
Naive CD4	PC4	MMF	-0.2	0.19	0.29	0.83
Naive CD4	PC4	TAC	0.067	0.19	0.73	0.97
Naive CD4	PC5	InactivevsHC	-0.26	0.23	0.26	0.82
Naive CD4	PC5	LDAvsInactive	0.32	0.32	0.32	0.85
Naive CD4	PC5	MDAvsInactive	0.69	0.36	0.063	0.58
Naive CD4	PC5	HDAvsInactive	0.77	0.35	0.032	0.47
Naive CD4	PC5	constitutional	-0.085	0.32	0.79	0.98
Naive CD4	PC5	mucocutaneous	0.4	0.24	0.095	0.64
Naive CD4	PC5	musculoskeletal	0.45	0.26	0.08	0.61
Naive CD4	PC5	renal	0.23	0.24	0.33	0.86
Naive CD4	PC5	extrarenal	0.15	0.34	0.65	0.95
Naive CD4	PC5	hematological	0.024	0.31	0.94	  1
Naive CD4	PC5	serological	0.2	0.21	0.32	0.85
Naive CD4	PC5	HCQ	-0.23	0.21	0.27	0.83
Naive CD4	PC5	MMF	-0.27	0.23	0.26	0.82
Naive CD4	PC5	TAC	0.12	0.24	0.63	0.95
Naive CD4	PC6	InactivevsHC	0.39	0.22	0.084	0.62
Naive CD4	PC6	LDAvsInactive	-0.082	0.25	0.75	0.98
Naive CD4	PC6	MDAvsInactive	0.086	0.33	0.8	0.98
Naive CD4	PC6	HDAvsInactive	-0.34	0.25	0.18	0.76
Naive CD4	PC6	constitutional	-0.36	0.31	0.24	0.81
Naive CD4	PC6	mucocutaneous	0.18	0.23	0.43	0.9
Naive CD4	PC6	musculoskeletal	0.083	0.24	0.73	0.97
Naive CD4	PC6	renal	-0.075	0.23	0.74	0.97
Naive CD4	PC6	extrarenal	-0.26	0.32	0.43	0.9
Naive CD4	PC6	hematological	-0.17	0.29	0.56	0.94
Naive CD4	PC6	serological	0.1	0.2	0.61	0.95
Naive CD4	PC6	HCQ	0.2	0.2	0.32	0.85
Naive CD4	PC6	MMF	0.17	0.22	0.46	0.91
Naive CD4	PC6	TAC	0.41	0.23	0.078	0.61
Naive CD4	PC7	InactivevsHC	-0.51	0.16	0.002	0.13
Naive CD4	PC7	LDAvsInactive	-0.11	0.28	0.69	0.96
Naive CD4	PC7	MDAvsInactive	0.74	0.27	0.0078	0.27
Naive CD4	PC7	HDAvsInactive	1.2	0.31	0.00023	0.03
Naive CD4	PC7	constitutional	0.71	0.32	0.027	0.44
Naive CD4	PC7	mucocutaneous	-0.0034	0.24	0.99	  1
Naive CD4	PC7	musculoskeletal	0.95	0.25	0.00025	0.032
Naive CD4	PC7	renal	0.11	0.23	0.65	0.95
Naive CD4	PC7	extrarenal	0.14	0.33	0.67	0.96
Naive CD4	PC7	hematological	0.51	0.3	0.092	0.64
Naive CD4	PC7	serological	0.14	0.2	0.49	0.92
Naive CD4	PC7	HCQ	0.08	0.21	0.7	0.97
Naive CD4	PC7	MMF	-0.38	0.24	0.11	0.68
Naive CD4	PC7	TAC	-0.061	0.24	0.8	0.99
Mem CD4	PC1	InactivevsHC	0.97	0.18	4.1e-07	0.00016
Mem CD4	PC1	LDAvsInactive	-0.03	0.25	0.9	0.99
Mem CD4	PC1	MDAvsInactive	0.024	0.3	0.94	  1
Mem CD4	PC1	HDAvsInactive	0.0064	0.28	0.98	  1
Mem CD4	PC1	constitutional	-0.11	0.29	0.71	0.97
Mem CD4	PC1	mucocutaneous	0.1	0.21	0.63	0.95
Mem CD4	PC1	musculoskeletal	-0.2	0.23	0.38	0.88
Mem CD4	PC1	renal	-0.036	0.21	0.86	0.99
Mem CD4	PC1	extrarenal	-0.046	0.3	0.88	0.99
Mem CD4	PC1	hematological	0.041	0.27	0.88	0.99
Mem CD4	PC1	serological	0.16	0.18	0.38	0.88
Mem CD4	PC1	HCQ	-0.4	0.18	0.034	0.47
Mem CD4	PC1	MMF	-0.31	0.21	0.13	0.71
Mem CD4	PC1	TAC	-0.16	0.21	0.46	0.91
Mem CD4	PC2	InactivevsHC	0.042	0.14	0.76	0.98
Mem CD4	PC2	LDAvsInactive	0.5	0.26	0.058	0.57
Mem CD4	PC2	MDAvsInactive	0.94	0.25	0.00052	0.055
Mem CD4	PC2	HDAvsInactive	1.6	0.24	4.8e-09	2.7e-06
Mem CD4	PC2	constitutional	0.48	0.27	0.084	0.62
Mem CD4	PC2	mucocutaneous	0.49	0.2	0.016	0.38
Mem CD4	PC2	musculoskeletal	0.39	0.22	0.076	0.6
Mem CD4	PC2	renal	0.63	0.2	0.0022	0.13
Mem CD4	PC2	extrarenal	0.29	0.29	0.31	0.85
Mem CD4	PC2	hematological	0.14	0.26	0.59	0.94
Mem CD4	PC2	serological	0.33	0.17	0.06	0.57
Mem CD4	PC2	HCQ	-0.11	0.18	0.55	0.93
Mem CD4	PC2	MMF	-0.064	0.2	0.75	0.98
Mem CD4	PC2	TAC	0.056	0.21	0.79	0.98
Mem CD4	PC3	InactivevsHC	0.097	0.23	0.67	0.96
Mem CD4	PC3	LDAvsInactive	-0.24	0.27	0.39	0.88
Mem CD4	PC3	MDAvsInactive	0.44	0.32	0.18	0.76
Mem CD4	PC3	HDAvsInactive	0.54	0.27	0.052	0.55
Mem CD4	PC3	constitutional	0.008	0.32	0.98	  1
Mem CD4	PC3	mucocutaneous	0.018	0.23	0.94	  1
Mem CD4	PC3	musculoskeletal	0.23	0.25	0.36	0.88
Mem CD4	PC3	renal	0.48	0.23	0.039	0.49
Mem CD4	PC3	extrarenal	0.38	0.33	0.25	0.82
Mem CD4	PC3	hematological	0.11	0.3	0.72	0.97
Mem CD4	PC3	serological	-0.18	0.2	0.37	0.88
Mem CD4	PC3	HCQ	0.082	0.2	0.68	0.96
Mem CD4	PC3	MMF	0.008	0.22	0.97	  1
Mem CD4	PC3	TAC	0.27	0.23	0.25	0.82
Mem CD4	PC4	InactivevsHC	-0.054	0.19	0.77	0.98
Mem CD4	PC4	LDAvsInactive	0.59	0.27	0.034	0.47
Mem CD4	PC4	MDAvsInactive	0.3	0.36	0.41	0.89
Mem CD4	PC4	HDAvsInactive	0.4	0.29	0.17	0.75
Mem CD4	PC4	constitutional	0.48	0.34	0.16	0.74
Mem CD4	PC4	mucocutaneous	0.37	0.25	0.15	0.73
Mem CD4	PC4	musculoskeletal	-0.11	0.27	0.68	0.96
Mem CD4	PC4	renal	0.31	0.25	0.22	0.8
Mem CD4	PC4	extrarenal	-0.087	0.36	0.81	0.99
Mem CD4	PC4	hematological	-0.68	0.33	0.04	0.5
Mem CD4	PC4	serological	0.0073	0.22	0.97	  1
Mem CD4	PC4	HCQ	-0.24	0.22	0.28	0.83
Mem CD4	PC4	MMF	-0.035	0.25	0.89	0.99
Mem CD4	PC4	TAC	-0.27	0.26	0.3	0.84
Mem CD4	PC5	InactivevsHC	1.2	0.17	8.7e-10	5.9e-07
Mem CD4	PC5	LDAvsInactive	-0.16	0.23	0.49	0.92
Mem CD4	PC5	MDAvsInactive	-0.16	0.3	0.59	0.94
Mem CD4	PC5	HDAvsInactive	-0.29	0.28	0.32	0.85
Mem CD4	PC5	constitutional	-0.2	0.28	0.48	0.92
Mem CD4	PC5	mucocutaneous	0.086	0.21	0.68	0.96
Mem CD4	PC5	musculoskeletal	0.063	0.22	0.78	0.98
Mem CD4	PC5	renal	-0.41	0.2	0.047	0.54
Mem CD4	PC5	extrarenal	-0.14	0.29	0.64	0.95
Mem CD4	PC5	hematological	-0.13	0.27	0.63	0.95
Mem CD4	PC5	serological	0.17	0.18	0.34	0.86
Mem CD4	PC5	HCQ	0.49	0.18	0.0079	0.28
Mem CD4	PC5	MMF	0.25	0.2	0.23	0.8
Mem CD4	PC5	TAC	0.28	0.21	0.19	0.78
Mem CD4	PC6	InactivevsHC	0.24	0.22	0.26	0.83
Mem CD4	PC6	LDAvsInactive	0.13	0.29	0.66	0.96
Mem CD4	PC6	MDAvsInactive	0.16	0.33	0.64	0.95
Mem CD4	PC6	HDAvsInactive	0.51	0.3	0.093	0.64
Mem CD4	PC6	constitutional	0.26	0.33	0.42	0.9
Mem CD4	PC6	mucocutaneous	0.031	0.24	0.9	0.99
Mem CD4	PC6	musculoskeletal	0.016	0.26	0.95	  1
Mem CD4	PC6	renal	-0.33	0.24	0.17	0.75
Mem CD4	PC6	extrarenal	0.14	0.34	0.68	0.96
Mem CD4	PC6	hematological	0.52	0.31	0.097	0.65
Mem CD4	PC6	serological	0.077	0.21	0.71	0.97
Mem CD4	PC6	HCQ	0.33	0.22	0.13	0.7
Mem CD4	PC6	MMF	0.34	0.24	0.17	0.75
Mem CD4	PC6	TAC	-0.002	0.25	0.99	  1
Mem CD4	PC7	InactivevsHC	0.066	0.23	0.77	0.98
Mem CD4	PC7	LDAvsInactive	0.21	0.28	0.45	0.91
Mem CD4	PC7	MDAvsInactive	0.24	0.32	0.47	0.91
Mem CD4	PC7	HDAvsInactive	-0.085	0.3	0.78	0.98
Mem CD4	PC7	constitutional	-0.19	0.31	0.54	0.93
Mem CD4	PC7	mucocutaneous	0.22	0.23	0.35	0.87
Mem CD4	PC7	musculoskeletal	-0.014	0.25	0.95	  1
Mem CD4	PC7	renal	-0.056	0.23	0.81	0.99
Mem CD4	PC7	extrarenal	-0.018	0.33	0.96	  1
Mem CD4	PC7	hematological	-0.52	0.3	0.085	0.62
Mem CD4	PC7	serological	0.089	0.2	0.65	0.95
Mem CD4	PC7	HCQ	-0.0017	0.2	0.99	  1
Mem CD4	PC7	MMF	0.4	0.23	0.08	0.61
Mem CD4	PC7	TAC	0.11	0.23	0.65	0.95
Th1	PC1	InactivevsHC	0.65	0.11	5.7e-08	2.6e-05
Th1	PC1	LDAvsInactive	0.28	0.21	0.18	0.76
Th1	PC1	MDAvsInactive	0.68	0.24	0.0054	0.23
Th1	PC1	HDAvsInactive	1.2	0.21	5e-07	0.00018
Th1	PC1	constitutional	0.43	0.26	0.1	0.66
Th1	PC1	mucocutaneous	0.44	0.19	0.02	0.41
Th1	PC1	musculoskeletal	0.3	0.21	0.15	0.73
Th1	PC1	renal	0.41	0.19	0.031	0.46
Th1	PC1	extrarenal	0.034	0.27	0.9	0.99
Th1	PC1	hematological	0.15	0.25	0.55	0.93
Th1	PC1	serological	0.24	0.16	0.14	0.72
Th1	PC1	HCQ	-0.44	0.17	0.0093	0.3
Th1	PC1	MMF	-0.61	0.19	0.0017	0.12
Th1	PC1	TAC	-0.064	0.2	0.74	0.97
Th1	PC2	InactivevsHC	-0.19	0.19	0.3	0.84
Th1	PC2	LDAvsInactive	0.085	0.28	0.76	0.98
Th1	PC2	MDAvsInactive	0.22	0.32	0.49	0.92
Th1	PC2	HDAvsInactive	0.33	0.31	0.28	0.83
Th1	PC2	constitutional	0.25	0.36	0.49	0.92
Th1	PC2	mucocutaneous	-0.0019	0.26	0.99	  1
Th1	PC2	musculoskeletal	0.14	0.29	0.62	0.95
Th1	PC2	renal	0.63	0.26	0.016	0.38
Th1	PC2	extrarenal	-0.13	0.38	0.73	0.97
Th1	PC2	hematological	-0.026	0.34	0.94	  1
Th1	PC2	serological	-0.26	0.22	0.25	0.82
Th1	PC2	HCQ	0.025	0.23	0.91	0.99
Th1	PC2	MMF	-0.17	0.27	0.52	0.92
Th1	PC2	TAC	-0.036	0.27	0.9	0.99
Th1	PC3	InactivevsHC	0.053	0.2	0.79	0.98
Th1	PC3	LDAvsInactive	-0.24	0.23	0.31	0.85
Th1	PC3	MDAvsInactive	0.12	0.34	0.73	0.97
Th1	PC3	HDAvsInactive	0.036	0.28	0.9	0.99
Th1	PC3	constitutional	-0.18	0.34	0.59	0.94
Th1	PC3	mucocutaneous	-0.59	0.24	0.015	0.37
Th1	PC3	musculoskeletal	0.23	0.27	0.4	0.89
Th1	PC3	renal	0.13	0.24	0.59	0.94
Th1	PC3	extrarenal	-0.077	0.35	0.83	0.99
Th1	PC3	hematological	0.82	0.32	0.011	0.32
Th1	PC3	serological	0.11	0.21	0.58	0.94
Th1	PC3	HCQ	0.11	0.22	0.63	0.95
Th1	PC3	MMF	0.078	0.25	0.76	0.98
Th1	PC3	TAC	0.33	0.26	0.2	0.79
Th1	PC4	InactivevsHC	0.9	0.18	2.8e-06	0.00083
Th1	PC4	LDAvsInactive	-0.29	0.29	0.33	0.86
Th1	PC4	MDAvsInactive	-0.65	0.32	0.044	0.53
Th1	PC4	HDAvsInactive	-1.1	0.3	0.00052	0.055
Th1	PC4	constitutional	-0.26	0.33	0.45	0.91
Th1	PC4	mucocutaneous	-0.21	0.24	0.37	0.88
Th1	PC4	musculoskeletal	-0.68	0.26	0.012	0.33
Th1	PC4	renal	-0.58	0.24	0.017	0.39
Th1	PC4	extrarenal	0.17	0.35	0.63	0.95
Th1	PC4	hematological	-0.13	0.31	0.67	0.96
Th1	PC4	serological	-0.048	0.21	0.82	0.99
Th1	PC4	HCQ	-0.13	0.21	0.54	0.93
Th1	PC4	MMF	-0.15	0.24	0.54	0.93
Th1	PC4	TAC	0.09	0.25	0.72	0.97
Th1	PC5	InactivevsHC	0.055	0.2	0.79	0.98
Th1	PC5	LDAvsInactive	-0.061	0.23	0.79	0.98
Th1	PC5	MDAvsInactive	0.1	0.28	0.71	0.97
Th1	PC5	HDAvsInactive	0.17	0.28	0.55	0.93
Th1	PC5	constitutional	-0.58	0.33	0.083	0.62
Th1	PC5	mucocutaneous	0.4	0.23	0.09	0.63
Th1	PC5	musculoskeletal	0.11	0.26	0.68	0.96
Th1	PC5	renal	0.12	0.24	0.63	0.95
Th1	PC5	extrarenal	0.19	0.35	0.58	0.94
Th1	PC5	hematological	-0.27	0.31	0.38	0.88
Th1	PC5	serological	0.011	0.2	0.96	  1
Th1	PC5	HCQ	0.032	0.21	0.88	0.99
Th1	PC5	MMF	0.37	0.24	0.13	0.7
Th1	PC5	TAC	0.003	0.25	0.99	  1
Th1	PC6	InactivevsHC	  1	0.14	3.3e-11	4.7e-08
Th1	PC6	LDAvsInactive	0.11	0.22	0.62	0.95
Th1	PC6	MDAvsInactive	0.11	0.28	0.7	0.96
Th1	PC6	HDAvsInactive	0.26	0.22	0.24	0.81
Th1	PC6	constitutional	-0.005	0.3	0.99	  1
Th1	PC6	mucocutaneous	0.076	0.22	0.73	0.97
Th1	PC6	musculoskeletal	0.026	0.24	0.92	0.99
Th1	PC6	renal	0.011	0.22	0.96	  1
Th1	PC6	extrarenal	0.046	0.32	0.88	0.99
Th1	PC6	hematological	-0.16	0.28	0.56	0.94
Th1	PC6	serological	0.23	0.19	0.21	0.79
Th1	PC6	HCQ	0.42	0.19	0.027	0.44
Th1	PC6	MMF	0.88	0.22	0.0001	0.015
Th1	PC6	TAC	0.11	0.22	0.62	0.95
Th1	PC7	InactivevsHC	0.024	0.19	0.9	0.99
Th1	PC7	LDAvsInactive	0.18	0.26	0.49	0.92
Th1	PC7	MDAvsInactive	0.02	0.3	0.95	  1
Th1	PC7	HDAvsInactive	0.2	0.35	0.57	0.94
Th1	PC7	constitutional	0.073	0.36	0.84	0.99
Th1	PC7	mucocutaneous	-0.16	0.26	0.55	0.93
Th1	PC7	musculoskeletal	0.11	0.29	0.7	0.96
Th1	PC7	renal	-0.46	0.26	0.077	0.61
Th1	PC7	extrarenal	0.086	0.38	0.82	0.99
Th1	PC7	hematological	0.31	0.34	0.35	0.87
Th1	PC7	serological	0.2	0.22	0.37	0.88
Th1	PC7	HCQ	0.11	0.23	0.64	0.95
Th1	PC7	MMF	-0.17	0.26	0.52	0.92
Th1	PC7	TAC	-0.23	0.27	0.39	0.89
Th2	PC1	InactivevsHC	0.92	0.15	1.4e-08	7.1e-06
Th2	PC1	LDAvsInactive	0.16	0.24	0.52	0.92
Th2	PC1	MDAvsInactive	0.2	0.24	0.42	0.9
Th2	PC1	HDAvsInactive	0.49	0.24	0.048	0.54
Th2	PC1	constitutional	0.058	0.28	0.83	0.99
Th2	PC1	mucocutaneous	0.22	0.21	0.28	0.83
Th2	PC1	musculoskeletal	-0.082	0.23	0.72	0.97
Th2	PC1	renal	0.09	0.21	0.67	0.96
Th2	PC1	extrarenal	0.14	0.29	0.62	0.95
Th2	PC1	hematological	0.13	0.26	0.62	0.95
Th2	PC1	serological	0.23	0.18	0.2	0.79
Th2	PC1	HCQ	-0.23	0.18	0.2	0.79
Th2	PC1	MMF	-0.46	0.21	0.031	0.46
Th2	PC1	TAC	0.042	0.22	0.84	0.99
Th2	PC2	InactivevsHC	0.43	0.19	0.028	0.44
Th2	PC2	LDAvsInactive	-0.071	0.28	0.8	0.98
Th2	PC2	MDAvsInactive	0.38	0.27	0.16	0.74
Th2	PC2	HDAvsInactive	0.86	0.27	0.0022	0.14
Th2	PC2	constitutional	0.32	0.3	0.28	0.83
Th2	PC2	mucocutaneous	0.12	0.22	0.59	0.94
Th2	PC2	musculoskeletal	0.14	0.25	0.57	0.94
Th2	PC2	renal	0.7	0.22	0.0024	0.14
Th2	PC2	extrarenal	0.25	0.32	0.43	0.9
Th2	PC2	hematological	0.12	0.28	0.68	0.96
Th2	PC2	serological	-0.13	0.2	0.52	0.92
Th2	PC2	HCQ	-0.056	0.2	0.78	0.98
Th2	PC2	MMF	-0.034	0.23	0.88	0.99
Th2	PC2	TAC	0.21	0.24	0.39	0.88
Th2	PC3	InactivevsHC	0.33	0.17	0.057	0.57
Th2	PC3	LDAvsInactive	0.27	0.28	0.35	0.87
Th2	PC3	MDAvsInactive	0.27	0.26	0.3	0.84
Th2	PC3	HDAvsInactive	0.2	0.24	0.41	0.89
Th2	PC3	constitutional	-0.36	0.31	0.25	0.82
Th2	PC3	mucocutaneous	-0.1	0.23	0.65	0.96
Th2	PC3	musculoskeletal	0.098	0.26	0.71	0.97
Th2	PC3	renal	-0.33	0.23	0.16	0.74
Th2	PC3	extrarenal	-0.029	0.33	0.93	  1
Th2	PC3	hematological	0.46	0.3	0.12	0.7
Th2	PC3	serological	0.46	0.2	0.025	0.43
Th2	PC3	HCQ	0.21	0.21	0.32	0.85
Th2	PC3	MMF	0.24	0.25	0.34	0.86
Th2	PC3	TAC	0.31	0.25	0.22	0.8
Th2	PC4	InactivevsHC	0.53	0.19	0.005	0.22
Th2	PC4	LDAvsInactive	0.3	0.26	0.24	0.82
Th2	PC4	MDAvsInactive	0.4	0.28	0.17	0.75
Th2	PC4	HDAvsInactive	0.67	0.3	0.031	0.46
Th2	PC4	constitutional	0.14	0.31	0.66	0.96
Th2	PC4	mucocutaneous	0.37	0.23	0.11	0.66
Th2	PC4	musculoskeletal	0.009	0.26	0.97	  1
Th2	PC4	renal	-0.047	0.23	0.84	0.99
Th2	PC4	extrarenal	0.29	0.33	0.38	0.88
Th2	PC4	hematological	-0.032	0.3	0.91	0.99
Th2	PC4	serological	0.13	0.2	0.54	0.93
Th2	PC4	HCQ	0.16	0.2	0.43	0.9
Th2	PC4	MMF	0.43	0.24	0.073	0.6
Th2	PC4	TAC	-0.15	0.25	0.55	0.93
Th2	PC5	InactivevsHC	-0.1	0.18	0.56	0.94
Th2	PC5	LDAvsInactive	0.37	0.26	0.15	0.73
Th2	PC5	MDAvsInactive	0.36	0.28	0.2	0.79
Th2	PC5	HDAvsInactive	0.42	0.24	0.082	0.62
Th2	PC5	constitutional	-0.51	0.32	0.12	0.68
Th2	PC5	mucocutaneous	0.75	0.24	0.0023	0.14
Th2	PC5	musculoskeletal	0.43	0.27	0.12	0.68
Th2	PC5	renal	0.28	0.24	0.25	0.82
Th2	PC5	extrarenal	-0.18	0.34	0.61	0.95
Th2	PC5	hematological	-0.37	0.31	0.23	0.8
Th2	PC5	serological	0.1	0.21	0.64	0.95
Th2	PC5	HCQ	-0.1	0.22	0.63	0.95
Th2	PC5	MMF	-0.069	0.26	0.79	0.98
Th2	PC5	TAC	0.4	0.26	0.13	0.71
Th2	PC6	InactivevsHC	0.77	0.18	3.9e-05	0.007
Th2	PC6	LDAvsInactive	-0.085	0.3	0.78	0.98
Th2	PC6	MDAvsInactive	-0.55	0.31	0.085	0.62
Th2	PC6	HDAvsInactive	-1.1	0.31	0.00077	0.071
Th2	PC6	constitutional	-0.51	0.33	0.12	0.68
Th2	PC6	mucocutaneous	0.24	0.24	0.33	0.86
Th2	PC6	musculoskeletal	-0.52	0.27	0.057	0.57
Th2	PC6	renal	-0.49	0.24	0.047	0.53
Th2	PC6	extrarenal	-0.34	0.34	0.32	0.85
Th2	PC6	hematological	-0.26	0.31	0.4	0.89
Th2	PC6	serological	-0.28	0.21	0.19	0.78
Th2	PC6	HCQ	0.21	0.22	0.34	0.86
Th2	PC6	MMF	-0.12	0.25	0.64	0.95
Th2	PC6	TAC	-0.055	0.26	0.83	0.99
Th2	PC7	InactivevsHC	-0.5	0.18	0.005	0.22
Th2	PC7	LDAvsInactive	0.076	0.32	0.81	0.99
Th2	PC7	MDAvsInactive	0.7	0.33	0.036	0.48
Th2	PC7	HDAvsInactive	1.1	0.31	0.001	0.087
Th2	PC7	constitutional	0.23	0.35	0.51	0.92
Th2	PC7	mucocutaneous	0.079	0.26	0.76	0.98
Th2	PC7	musculoskeletal	0.76	0.29	0.01	0.31
Th2	PC7	renal	0.0023	0.26	0.99	  1
Th2	PC7	extrarenal	0.31	0.37	0.4	0.89
Th2	PC7	hematological	0.54	0.33	0.11	0.66
Th2	PC7	serological	-0.08	0.23	0.72	0.97
Th2	PC7	HCQ	0.12	0.23	0.62	0.95
Th2	PC7	MMF	-0.33	0.27	0.23	0.8
Th2	PC7	TAC	0.055	0.28	0.85	0.99
Th17	PC1	InactivevsHC	0.55	0.17	0.0017	0.12
Th17	PC1	LDAvsInactive	0.071	0.27	0.79	0.98
Th17	PC1	MDAvsInactive	0.35	0.26	0.19	0.77
Th17	PC1	HDAvsInactive	0.53	0.23	0.026	0.44
Th17	PC1	constitutional	0.22	0.3	0.47	0.91
Th17	PC1	mucocutaneous	0.28	0.22	0.21	0.79
Th17	PC1	musculoskeletal	0.064	0.24	0.79	0.98
Th17	PC1	renal	0.012	0.22	0.95	  1
Th17	PC1	extrarenal	0.015	0.31	0.96	  1
Th17	PC1	hematological	0.051	0.28	0.86	0.99
Th17	PC1	serological	0.34	0.19	0.074	0.6
Th17	PC1	HCQ	-0.23	0.19	0.24	0.82
Th17	PC1	MMF	-0.24	0.22	0.28	0.83
Th17	PC1	TAC	-0.089	0.23	0.69	0.96
Th17	PC2	InactivevsHC	0.51	0.2	0.011	0.32
Th17	PC2	LDAvsInactive	0.057	0.25	0.82	0.99
Th17	PC2	MDAvsInactive	0.67	0.3	0.028	0.44
Th17	PC2	HDAvsInactive	1.1	0.26	0.00015	0.022
Th17	PC2	constitutional	-0.11	0.29	0.71	0.97
Th17	PC2	mucocutaneous	0.074	0.22	0.74	0.97
Th17	PC2	musculoskeletal	0.33	0.23	0.16	0.74
Th17	PC2	renal	0.71	0.22	0.0012	0.096
Th17	PC2	extrarenal	0.33	0.31	0.28	0.83
Th17	PC2	hematological	0.13	0.28	0.64	0.95
Th17	PC2	serological	0.05	0.19	0.79	0.98
Th17	PC2	HCQ	0.067	0.19	0.72	0.97
Th17	PC2	MMF	-0.11	0.21	0.61	0.95
Th17	PC2	TAC	0.46	0.22	0.037	0.49
Th17	PC3	InactivevsHC	0.45	0.19	0.02	0.41
Th17	PC3	LDAvsInactive	0.25	0.24	0.31	0.85
Th17	PC3	MDAvsInactive	0.3	0.27	0.27	0.83
Th17	PC3	HDAvsInactive	0.54	0.25	0.036	0.48
Th17	PC3	constitutional	0.44	0.28	0.12	0.69
Th17	PC3	mucocutaneous	0.54	0.21	0.012	0.34
Th17	PC3	musculoskeletal	-0.2	0.22	0.38	0.88
Th17	PC3	renal	0.027	0.21	0.9	0.99
Th17	PC3	extrarenal	0.2	0.3	0.5	0.92
Th17	PC3	hematological	-0.53	0.27	0.051	0.55
Th17	PC3	serological	0.078	0.18	0.66	0.96
Th17	PC3	HCQ	-0.13	0.19	0.49	0.92
Th17	PC3	MMF	0.07	0.22	0.75	0.98
Th17	PC3	TAC	-0.16	0.22	0.47	0.91
Th17	PC4	InactivevsHC	0.64	0.18	0.00049	0.052
Th17	PC4	LDAvsInactive	0.3	0.27	0.27	0.83
Th17	PC4	MDAvsInactive	0.0063	0.3	0.98	  1
