Signature	Cell type	Annotation	Pvalue	FDR
Disease-state	Tfh	HALLMARK_INFLAMMATORY_RESPONSE	1.6e-07	2.6e-06
Disease-state	Tfh	HALLMARK_IL2_STAT5_SIGNALING	2e-05	0.00023
Disease-state	Tfh	HALLMARK_ALLOGRAFT_REJECTION	2.3e-05	0.00023
Disease-state	Tfh	HALLMARK_TNFA_SIGNALING_VIA_NFKB	8.8e-05	0.00073
Disease-state	Tfh	HALLMARK_MTORC1_SIGNALING	0.00054	0.0039
Disease-state	Tfh	HALLMARK_IL6_JAK_STAT3_SIGNALING	0.0017	0.011
Disease-state	Tfh	HALLMARK_ANDROGEN_RESPONSE	0.0021	0.012
Disease-state	Tfh	HALLMARK_ESTROGEN_RESPONSE_LATE	0.0042	0.021
Disease-state	Tfh	HALLMARK_APOPTOSIS	0.0066	0.029
Disease-state	Tfh	HALLMARK_P53_PATHWAY	0.0068	0.029
Disease-state	Tfh	HALLMARK_HYPOXIA	0.016	0.063
Disease-state	Tfh	HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.029	0.1
Disease-state	Tfh	HALLMARK_ESTROGEN_RESPONSE_EARLY	0.035	0.12
Disease-state	Fr. I nTreg	HALLMARK_INTERFERON_GAMMA_RESPONSE	1.7e-28	8.5e-27
Disease-state	Fr. I nTreg	HALLMARK_INTERFERON_ALPHA_RESPONSE	2e-24	4.9e-23
Disease-state	Fr. I nTreg	HALLMARK_INFLAMMATORY_RESPONSE	7.1e-05	0.0012
Disease-state	Fr. I nTreg	HALLMARK_MYC_TARGETS_V2	0.00011	0.0014
Disease-state	Fr. I nTreg	HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.00039	0.0039
Disease-state	Fr. I nTreg	HALLMARK_IL2_STAT5_SIGNALING	0.0025	0.02
Disease-state	Fr. I nTreg	HALLMARK_MYC_TARGETS_V1	0.0027	0.02
Disease-state	Fr. I nTreg	HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.015	0.095
Disease-state	Fr. I nTreg	HALLMARK_HYPOXIA	0.018	0.099
Disease-state	Fr. I nTreg	HALLMARK_APOPTOSIS	0.034	0.14
Disease-state	Fr. I nTreg	HALLMARK_NOTCH_SIGNALING	0.034	0.14
Disease-state	Fr. I nTreg	HALLMARK_IL6_JAK_STAT3_SIGNALING	0.036	0.14
Disease-state	Fr. I nTreg	HALLMARK_KRAS_SIGNALING_UP	0.037	0.14
Disease-state	Fr. II eTreg	HALLMARK_INTERFERON_ALPHA_RESPONSE	1.5e-28	7.5e-27
Disease-state	Fr. II eTreg	HALLMARK_INTERFERON_GAMMA_RESPONSE	5e-25	1.3e-23
Disease-state	Fr. II eTreg	HALLMARK_TNFA_SIGNALING_VIA_NFKB	1.6e-08	2.6e-07
Disease-state	Fr. II eTreg	HALLMARK_IL2_STAT5_SIGNALING	6.4e-08	8e-07
Disease-state	Fr. II eTreg	HALLMARK_INFLAMMATORY_RESPONSE	1.3e-06	1.3e-05
Disease-state	Fr. II eTreg	HALLMARK_HYPOXIA	0.00013	0.0011
Disease-state	Fr. II eTreg	HALLMARK_MYC_TARGETS_V2	0.00038	0.0027
Disease-state	Fr. II eTreg	HALLMARK_APOPTOSIS	0.00062	0.0039
Disease-state	Fr. II eTreg	HALLMARK_MTORC1_SIGNALING	0.0015	0.0082
Disease-state	Fr. II eTreg	HALLMARK_IL6_JAK_STAT3_SIGNALING	0.0061	0.031
Disease-state	Fr. II eTreg	HALLMARK_ALLOGRAFT_REJECTION	0.0069	0.031
Disease-state	Fr. II eTreg	HALLMARK_P53_PATHWAY	0.011	0.047
Disease-state	Fr. II eTreg	HALLMARK_UV_RESPONSE_UP	0.03	0.11
Disease-state	Fr. II eTreg	HALLMARK_ANDROGEN_RESPONSE	0.034	0.12
Disease-state	Fr. III T	HALLMARK_INTERFERON_ALPHA_RESPONSE	3.8e-16	1.9e-14
Disease-state	Fr. III T	HALLMARK_INTERFERON_GAMMA_RESPONSE	1e-10	2.6e-09
Disease-state	Fr. III T	HALLMARK_IL2_STAT5_SIGNALING	8.8e-07	1.5e-05
Disease-state	Fr. III T	HALLMARK_MYC_TARGETS_V2	8.1e-06	0.0001
Disease-state	Fr. III T	HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.00012	0.0012
Disease-state	Fr. III T	HALLMARK_INFLAMMATORY_RESPONSE	0.011	0.082
Disease-state	Fr. III T	HALLMARK_P53_PATHWAY	0.012	0.082
Disease-state	Fr. III T	HALLMARK_ANDROGEN_RESPONSE	0.014	0.085
Disease-state	Fr. III T	HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.025	0.14
Disease-state	Fr. III T	HALLMARK_ALLOGRAFT_REJECTION	0.043	0.2
Disease-state	Fr. III T	HALLMARK_IL6_JAK_STAT3_SIGNALING	0.044	0.2
Disease-state	Naive CD8	HALLMARK_INTERFERON_GAMMA_RESPONSE	5e-29	2.5e-27
Disease-state	Naive CD8	HALLMARK_INTERFERON_ALPHA_RESPONSE	7e-28	1.8e-26
Disease-state	Naive CD8	HALLMARK_ALLOGRAFT_REJECTION	0.0005	0.0084
Disease-state	Naive CD8	HALLMARK_INFLAMMATORY_RESPONSE	0.00071	0.0088
Disease-state	Naive CD8	HALLMARK_COMPLEMENT	0.0013	0.013
Disease-state	Naive CD8	HALLMARK_IL6_JAK_STAT3_SIGNALING	0.0059	0.045
Disease-state	Naive CD8	HALLMARK_IL2_STAT5_SIGNALING	0.0064	0.045
Disease-state	Naive CD8	HALLMARK_MTORC1_SIGNALING	0.02	0.12
Disease-state	Naive CD8	HALLMARK_APOPTOSIS	0.035	0.18
Disease-state	Naive CD8	HALLMARK_P53_PATHWAY	0.035	0.18
Disease-state	Naive CD8	HALLMARK_ANDROGEN_RESPONSE	0.039	0.18
Disease-state	Naive CD8	HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.047	0.2
Disease-state	CM CD8	HALLMARK_INTERFERON_ALPHA_RESPONSE	5.7e-28	2.8e-26
Disease-state	CM CD8	HALLMARK_INTERFERON_GAMMA_RESPONSE	1.2e-26	3.1e-25
Disease-state	CM CD8	HALLMARK_IL2_STAT5_SIGNALING	2.8e-05	0.00036
Disease-state	CM CD8	HALLMARK_MYC_TARGETS_V1	3.2e-05	0.00036
Disease-state	CM CD8	HALLMARK_TNFA_SIGNALING_VIA_NFKB	3.6e-05	0.00036
Disease-state	CM CD8	HALLMARK_INFLAMMATORY_RESPONSE	0.00053	0.0044
Disease-state	CM CD8	HALLMARK_HYPOXIA	0.0015	0.01
Disease-state	CM CD8	HALLMARK_IL6_JAK_STAT3_SIGNALING	0.0018	0.012
Disease-state	CM CD8	HALLMARK_MTORC1_SIGNALING	0.0036	0.02
Disease-state	CM CD8	HALLMARK_P53_PATHWAY	0.02	0.098
Disease-state	CM CD8	HALLMARK_ALLOGRAFT_REJECTION	0.022	0.098
Disease-state	CM CD8	HALLMARK_ANDROGEN_RESPONSE	0.025	0.1
Disease-state	CM CD8	HALLMARK_ESTROGEN_RESPONSE_LATE	0.034	0.13
Disease-state	EM CD8	HALLMARK_INTERFERON_ALPHA_RESPONSE	2.2e-17	1.1e-15
Disease-state	EM CD8	HALLMARK_INTERFERON_GAMMA_RESPONSE	1.2e-15	3e-14
Disease-state	EM CD8	HALLMARK_MTORC1_SIGNALING	2.6e-05	0.00044
Disease-state	EM CD8	HALLMARK_OXIDATIVE_PHOSPHORYLATION	9.6e-05	0.0012
Disease-state	EM CD8	HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.0052	0.052
Disease-state	EM CD8	HALLMARK_ALLOGRAFT_REJECTION	0.012	0.1
Disease-state	EM CD8	HALLMARK_ANDROGEN_RESPONSE	0.039	0.28
Disease-state	TEMRA CD8	HALLMARK_INTERFERON_GAMMA_RESPONSE	4.2e-22	1.3e-20
Disease-state	TEMRA CD8	HALLMARK_INTERFERON_ALPHA_RESPONSE	5.3e-22	1.3e-20
Disease-state	TEMRA CD8	HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.0012	0.019
Disease-state	TEMRA CD8	HALLMARK_MTORC1_SIGNALING	0.0015	0.019
Disease-state	TEMRA CD8	HALLMARK_IL2_STAT5_SIGNALING	0.029	0.24
Disease-state	TEMRA CD8	HALLMARK_P53_PATHWAY	0.029	0.24
Disease-state	TEMRA CD8	HALLMARK_HYPOXIA	0.039	0.28
Disease-state	NK	HALLMARK_INTERFERON_GAMMA_RESPONSE	9.5e-11	4.6e-09
Disease-state	NK	HALLMARK_INTERFERON_ALPHA_RESPONSE	1.8e-10	4.6e-09
Disease-state	NK	HALLMARK_MYC_TARGETS_V1	1e-09	1.7e-08
Disease-state	NK	HALLMARK_MTORC1_SIGNALING	2.9e-08	3.6e-07
Disease-state	NK	HALLMARK_OXIDATIVE_PHOSPHORYLATION	1.5e-07	1.5e-06
Disease-state	NK	HALLMARK_CHOLESTEROL_HOMEOSTASIS	7.4e-06	5.7e-05
Disease-state	NK	HALLMARK_E2F_TARGETS	8e-06	5.7e-05
Disease-state	NK	HALLMARK_G2M_CHECKPOINT	0.00029	0.0018
Disease-state	NK	HALLMARK_MYC_TARGETS_V2	0.0019	0.011
Disease-state	NK	HALLMARK_FATTY_ACID_METABOLISM	0.014	0.072
Disease-state	NK	HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.026	0.12
Disease-state	NK	HALLMARK_GLYCOLYSIS	0.035	0.14
Disease-state	NK	HALLMARK_HYPOXIA	0.038	0.14
Disease-state	Naive B	HALLMARK_INTERFERON_GAMMA_RESPONSE	3.4e-20	1.7e-18
Disease-state	Naive B	HALLMARK_INTERFERON_ALPHA_RESPONSE	6e-17	1.5e-15
Disease-state	Naive B	HALLMARK_OXIDATIVE_PHOSPHORYLATION	5.9e-11	9.9e-10
Disease-state	Naive B	HALLMARK_MYC_TARGETS_V1	1.4e-05	0.00018
Disease-state	Naive B	HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.00011	0.0011
Disease-state	Naive B	HALLMARK_MTORC1_SIGNALING	0.0013	0.011
Disease-state	Naive B	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.012	0.087
Disease-state	Naive B	HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.041	0.22
Disease-state	Naive B	HALLMARK_IL2_STAT5_SIGNALING	0.043	0.22
Disease-state	Naive B	HALLMARK_P53_PATHWAY	0.043	0.22
Disease-state	USM B	HALLMARK_OXIDATIVE_PHOSPHORYLATION	4.2e-18	2.1e-16
Disease-state	USM B	HALLMARK_MTORC1_SIGNALING	2.4e-09	6e-08
Disease-state	USM B	HALLMARK_MYC_TARGETS_V1	1.2e-05	0.0002
Disease-state	USM B	HALLMARK_INTERFERON_GAMMA_RESPONSE	8.1e-05	0.001
Disease-state	USM B	HALLMARK_INTERFERON_ALPHA_RESPONSE	0.00081	0.0081
Disease-state	USM B	HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.0048	0.04
Disease-state	USM B	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.0099	0.071
Disease-state	USM B	HALLMARK_ADIPOGENESIS	0.013	0.08
Disease-state	USM B	HALLMARK_E2F_TARGETS	0.045	0.25
Disease-state	USM B	HALLMARK_FATTY_ACID_METABOLISM	0.05	0.25
Disease-state	SM B	HALLMARK_INTERFERON_GAMMA_RESPONSE	1.9e-18	9.6e-17
Disease-state	SM B	HALLMARK_INTERFERON_ALPHA_RESPONSE	1.5e-15	3.7e-14
Disease-state	SM B	HALLMARK_MTORC1_SIGNALING	2e-08	3.4e-07
Disease-state	SM B	HALLMARK_CHOLESTEROL_HOMEOSTASIS	3.5e-07	4.4e-06
Disease-state	SM B	HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.00073	0.0073
Disease-state	SM B	HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.0056	0.047
Disease-state	DN B	HALLMARK_OXIDATIVE_PHOSPHORYLATION	6.3e-16	3.2e-14
Disease-state	DN B	HALLMARK_INTERFERON_ALPHA_RESPONSE	4.4e-13	9.4e-12
Disease-state	DN B	HALLMARK_INTERFERON_GAMMA_RESPONSE	5.6e-13	9.4e-12
Disease-state	DN B	HALLMARK_MTORC1_SIGNALING	1.8e-12	2.2e-11
Disease-state	DN B	HALLMARK_MYC_TARGETS_V1	0.00068	0.0068
Disease-state	DN B	HALLMARK_G2M_CHECKPOINT	0.00084	0.007
Disease-state	DN B	HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.0018	0.013
Disease-state	DN B	HALLMARK_E2F_TARGETS	0.0047	0.029
Disease-state	DN B	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.015	0.084
Disease-state	DN B	HALLMARK_FATTY_ACID_METABOLISM	0.021	0.1
Disease-state	Plasmablast	HALLMARK_INTERFERON_ALPHA_RESPONSE	3.6e-37	1.8e-35
Disease-state	Plasmablast	HALLMARK_INTERFERON_GAMMA_RESPONSE	7.1e-37	1.8e-35
Disease-state	Plasmablast	HALLMARK_ALLOGRAFT_REJECTION	0.00085	0.014
Disease-state	Plasmablast	HALLMARK_UV_RESPONSE_UP	0.003	0.037
Disease-state	CL Mono	HALLMARK_INTERFERON_ALPHA_RESPONSE	8.5e-37	4.3e-35
Disease-state	CL Mono	HALLMARK_INTERFERON_GAMMA_RESPONSE	2.8e-36	7e-35
Disease-state	CL Mono	HALLMARK_IL6_JAK_STAT3_SIGNALING	0.00094	0.013
Disease-state	CL Mono	HALLMARK_COMPLEMENT	0.0011	0.013
Disease-state	CL Mono	HALLMARK_INFLAMMATORY_RESPONSE	0.024	0.24
Disease-state	CD16p Mono	HALLMARK_INTERFERON_GAMMA_RESPONSE	8.2e-38	4e-36
Disease-state	CD16p Mono	HALLMARK_INTERFERON_ALPHA_RESPONSE	1.2e-33	3e-32
Disease-state	CD16p Mono	HALLMARK_TNFA_SIGNALING_VIA_NFKB	6.3e-08	1e-06
Disease-state	CD16p Mono	HALLMARK_INFLAMMATORY_RESPONSE	3.9e-07	4.8e-06
Disease-state	CD16p Mono	HALLMARK_IL6_JAK_STAT3_SIGNALING	0.0015	0.014
Disease-state	CD16p Mono	HALLMARK_MTORC1_SIGNALING	0.0054	0.039
Disease-state	CD16p Mono	HALLMARK_IL2_STAT5_SIGNALING	0.0064	0.039
Disease-state	CD16p Mono	HALLMARK_P53_PATHWAY	0.0064	0.039
Disease-state	CD16p Mono	HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.012	0.063
Disease-state	CD16p Mono	HALLMARK_COMPLEMENT	0.023	0.11
Disease-state	CD16p Mono	HALLMARK_ESTROGEN_RESPONSE_EARLY	0.027	0.12
Disease-state	CD16p Mono	HALLMARK_KRAS_SIGNALING_UP	0.028	0.12
Disease-state	Int Mono	HALLMARK_INTERFERON_GAMMA_RESPONSE	1.7e-51	8.3e-50
Disease-state	Int Mono	HALLMARK_INTERFERON_ALPHA_RESPONSE	4.8e-45	1.2e-43
Disease-state	Int Mono	HALLMARK_INFLAMMATORY_RESPONSE	4.8e-07	7.8e-06
Disease-state	Int Mono	HALLMARK_IL6_JAK_STAT3_SIGNALING	3.9e-05	0.00047
Disease-state	Int Mono	HALLMARK_COMPLEMENT	0.00028	0.0027
Disease-state	Int Mono	HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.00062	0.005
Disease-state	Int Mono	HALLMARK_ALLOGRAFT_REJECTION	0.0021	0.015
Disease-state	Int Mono	HALLMARK_P53_PATHWAY	0.0069	0.042
Disease-state	Int Mono	HALLMARK_KRAS_SIGNALING_UP	0.038	0.21
Disease-state	NC Mono	HALLMARK_INTERFERON_GAMMA_RESPONSE	3.6e-51	1.8e-49
Disease-state	NC Mono	HALLMARK_INTERFERON_ALPHA_RESPONSE	1.6e-43	4e-42
Disease-state	NC Mono	HALLMARK_INFLAMMATORY_RESPONSE	4.7e-07	7.7e-06
Disease-state	NC Mono	HALLMARK_P53_PATHWAY	1.8e-05	0.00022
Disease-state	NC Mono	HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.00061	0.006
Disease-state	NC Mono	HALLMARK_COMPLEMENT	0.0013	0.011
Disease-state	NC Mono	HALLMARK_IL6_JAK_STAT3_SIGNALING	0.0019	0.014
Disease-state	NC Mono	HALLMARK_ANDROGEN_RESPONSE	0.013	0.079
Disease-state	NC Mono	HALLMARK_APOPTOSIS	0.028	0.15
Disease-state	NC Mono	HALLMARK_ALLOGRAFT_REJECTION	0.039	0.19
Disease-state	NC Mono	HALLMARK_KRAS_SIGNALING_UP	0.043	0.19
Disease-state	mDC	HALLMARK_INTERFERON_GAMMA_RESPONSE	3.8e-34	1.4e-32
Disease-state	mDC	HALLMARK_INTERFERON_ALPHA_RESPONSE	5.4e-34	1.4e-32
Disease-state	mDC	HALLMARK_MYC_TARGETS_V1	8.4e-08	1.4e-06
Disease-state	mDC	HALLMARK_MTORC1_SIGNALING	3.1e-07	3.9e-06
Disease-state	mDC	HALLMARK_CHOLESTEROL_HOMEOSTASIS	5.2e-05	0.00052
Disease-state	mDC	HALLMARK_MYC_TARGETS_V2	0.00093	0.0078
Disease-state	mDC	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.0043	0.031
Disease-state	mDC	HALLMARK_COMPLEMENT	0.0061	0.034
Disease-state	mDC	HALLMARK_INFLAMMATORY_RESPONSE	0.0061	0.034
Disease-state	mDC	HALLMARK_IL6_JAK_STAT3_SIGNALING	0.0088	0.044
Disease-state	mDC	HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.041	0.18
Disease-state	mDC	HALLMARK_HYPOXIA	0.042	0.18
Disease-state	pDC	HALLMARK_INTERFERON_ALPHA_RESPONSE	4.9e-31	2.4e-29
Disease-state	pDC	HALLMARK_INTERFERON_GAMMA_RESPONSE	2.9e-25	7.2e-24
Disease-state	pDC	HALLMARK_MTORC1_SIGNALING	0.00011	0.0018
Disease-state	pDC	HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.00042	0.0052
Disease-state	pDC	HALLMARK_MYC_TARGETS_V1	0.0029	0.028
Disease-state	pDC	HALLMARK_P53_PATHWAY	0.025	0.21
Disease-state	pDC	HALLMARK_MYC_TARGETS_V2	0.031	0.22
Disease-state	Neu	HALLMARK_INTERFERON_ALPHA_RESPONSE	3.3e-31	1.7e-29
Disease-state	Neu	HALLMARK_INTERFERON_GAMMA_RESPONSE	6.7e-27	1.7e-25
Disease-state	Neu	HALLMARK_MYC_TARGETS_V1	8e-08	1.3e-06
Disease-state	Neu	HALLMARK_COMPLEMENT	0.029	0.35
Disease-state	Neu	HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.035	0.35
Disease-state	LDG	HALLMARK_INTERFERON_ALPHA_RESPONSE	3.5e-36	1.7e-34
Disease-state	LDG	HALLMARK_INTERFERON_GAMMA_RESPONSE	1.7e-25	4.1e-24
Disease-state	LDG	HALLMARK_INFLAMMATORY_RESPONSE	0.0038	0.052
Disease-state	LDG	HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.0043	0.052
Disease-state	LDG	HALLMARK_COMPLEMENT	0.0067	0.065
Disease-state	LDG	HALLMARK_IL2_STAT5_SIGNALING	0.048	0.39
Disease-activity	Naive CD4	HALLMARK_INTERFERON_ALPHA_RESPONSE	4.7e-38	2.2e-36
Disease-activity	Naive CD4	HALLMARK_INTERFERON_GAMMA_RESPONSE	4.2e-28	9.9e-27
Disease-activity	Naive CD4	HALLMARK_INFLAMMATORY_RESPONSE	0.0031	0.049
Disease-activity	Naive CD4	HALLMARK_ALLOGRAFT_REJECTION	0.027	0.32
Disease-activity	Mem CD4	HALLMARK_INTERFERON_ALPHA_RESPONSE	1.5e-20	7.5e-19
Disease-activity	Mem CD4	HALLMARK_G2M_CHECKPOINT	4.7e-16	1.2e-14
Disease-activity	Mem CD4	HALLMARK_INTERFERON_GAMMA_RESPONSE	6.9e-14	1.1e-12
Disease-activity	Mem CD4	HALLMARK_E2F_TARGETS	2.9e-12	3.6e-11
Disease-activity	Mem CD4	HALLMARK_MITOTIC_SPINDLE	0.009	0.09
Disease-activity	Mem CD4	HALLMARK_IL2_STAT5_SIGNALING	0.027	0.23
Disease-activity	Mem CD4	HALLMARK_ALLOGRAFT_REJECTION	0.044	0.3
Disease-activity	Th1	HALLMARK_E2F_TARGETS	3.3e-31	1.6e-29
Disease-activity	Th1	HALLMARK_MYC_TARGETS_V1	5.3e-19	1.3e-17
Disease-activity	Th1	HALLMARK_G2M_CHECKPOINT	1.3e-14	2.1e-13
Disease-activity	Th1	HALLMARK_OXIDATIVE_PHOSPHORYLATION	3.2e-14	4e-13
Disease-activity	Th1	HALLMARK_INTERFERON_ALPHA_RESPONSE	3.2e-12	3.2e-11
Disease-activity	Th1	HALLMARK_MTORC1_SIGNALING	2.4e-07	2e-06
Disease-activity	Th1	HALLMARK_INTERFERON_GAMMA_RESPONSE	2e-05	0.00014
Disease-activity	Th1	HALLMARK_SPERMATOGENESIS	0.018	0.11
Disease-activity	Th2	HALLMARK_INTERFERON_ALPHA_RESPONSE	2.8e-39	1.3e-37
Disease-activity	Th2	HALLMARK_INTERFERON_GAMMA_RESPONSE	3.8e-29	9.2e-28
Disease-activity	Th2	HALLMARK_APOPTOSIS	0.029	0.47
Disease-activity	Th17	HALLMARK_INTERFERON_ALPHA_RESPONSE	8.6e-45	4e-43
Disease-activity	Th17	HALLMARK_INTERFERON_GAMMA_RESPONSE	3.3e-28	7.7e-27
Disease-activity	Th17	HALLMARK_MYC_TARGETS_V1	0.0072	0.11
Disease-activity	Tfh	HALLMARK_INTERFERON_ALPHA_RESPONSE	9.5e-37	4.6e-35
Disease-activity	Tfh	HALLMARK_INTERFERON_GAMMA_RESPONSE	3e-23	7.2e-22
Disease-activity	Tfh	HALLMARK_APOPTOSIS	0.0011	0.018
Disease-activity	Fr. I nTreg	HALLMARK_INTERFERON_ALPHA_RESPONSE	5.5e-47	2.6e-45
Disease-activity	Fr. I nTreg	HALLMARK_INTERFERON_GAMMA_RESPONSE	6.7e-34	1.6e-32
Disease-activity	Fr. I nTreg	HALLMARK_MYC_TARGETS_V1	0.0081	0.13
Disease-activity	Fr. I nTreg	HALLMARK_P53_PATHWAY	0.035	0.41
Disease-activity	Fr. II eTreg	HALLMARK_INTERFERON_ALPHA_RESPONSE	4.5e-48	2.2e-46
Disease-activity	Fr. II eTreg	HALLMARK_INTERFERON_GAMMA_RESPONSE	2.9e-31	7.1e-30
Disease-activity	Fr. II eTreg	HALLMARK_PROTEIN_SECRETION	0.022	0.32
Disease-activity	Fr. II eTreg	HALLMARK_INFLAMMATORY_RESPONSE	0.026	0.32
